node_1,node_2
0,37825
0,17224
0,6356
1,18053
1,31265
1,28257
1,41010
1,19010
1,10785
1,41676
1,5800
1,1979
1,11621
2,4661
2,35935
3,22504
3,27665
3,13675
3,9462
3,20943
3,5842
3,36937
3,10824
3,13371
3,5775
3,39603
3,35513
4,35041
4,16026
5,17311
5,886
5,5112
5,21465
5,31989
5,10076
5,14587
5,11388
5,8650
6,7640
7,34808
7,37314
7,22280
7,14353
7,6950
7,2759
7,27931
7,38148
7,19949
7,39987
8,22889
8,34909
9,15747
9,15691
10,10338
10,26732
10,24103
10,31127
10,23917
10,20276
10,39527
10,15609
10,36093
10,5090
10,30778
10,8486
10,18950
10,30882
10,1991
10,29687
10,4360
10,10972
10,34750
10,31807
10,12657
10,7670
10,27741
10,32176
10,2821
11,4125
11,27819
11,35406
12,21484
12,3308
12,29938
14,20407
14,20243
14,3099
14,12199
14,35966
14,35945
15,8827
15,34585
20233,20136
20233,24550
20233,40536
20233,40237
20233,4369
17,8427
17,31735
18,5895
18,32159
19,2905
19,37870
19,17348
19,25135
19,24389
19,10381
19,23171
19,29867
19,18791
20,29250
20,38920
20,27913
20,381
20,23539
21,32493
21,41437
21,19870
21,25676
22,9288
23,32930
23,8912
23,32676
23,13698
23,40369
23,39355
23,35166
23,30592
24,37877
24,29120
24,32242
24,655
24,10225
24,2184
24,22610
24,31584
24,33623
24,7887
24,12825
24,28455
25,36326
25,24294
25,22834
25,36506
25,6474
26,2014
26,1558
26,20071
26,17291
28,8718
28,2668
28,38583
28,26106
28,4021
28,16651
28,19031
28,2357
28,23468
28,26219
28,33620
29,38307
29,32834
29,37150
30,13669
30,34490
30,11987
30,35382
20235,41573
20235,3461
20235,29635
32,10105
32,14408
32,31112
32,23942
174,1464
174,18421
18876,26045
18876,36558
18876,11004
18876,14404
18876,343
18876,19266
18876,23893
18876,4144
18876,30752
18876,32452
18876,32622
18876,37028
18876,3643
18876,35842
18876,37680
18876,20102
18876,38902
18876,36328
18876,41637
35,37789
36,27445
36,29229
36,13612
36,28090
36,37657
36,14264
37,36200
38,1670
38,37785
38,8888
38,15461
38,29525
39,23513
39,19188
39,24425
39,32804
39,34445
39906,35479
39906,40439
39906,7639
39906,30597
39906,2252
39906,14114
39906,2656
39906,33053
41,13560
41,15106
42,25395
42,3796
42,14599
42,19593
42,40106
43,5559
43,25922
43,41744
43,25711
44,402
44,18351
44,16025
44,11701
44,28093
44,37027
44,39977
45,751
45,14039
45,4447
45,11926
45,18950
45,28464
45,8397
45,24637
46,36404
46,19576
46,25422
46,19439
46,35387
46,36518
47,9825
47,15203
47,31131
47,13796
47,39820
47,30668
47,15574
47,6730
47,17892
48,108
48,39864
48,30318
48,29797
48,14331
48,41738
48,21636
38267,5393
38267,25081
49,10173
49,12817
49,22971
49,40879
49,8516
49,6241
49,34972
49,35607
49,24398
49,20333
27440,5531
27440,25025
27440,19659
27440,39691
27440,18374
27440,2191
27440,8078
27440,4402
27440,37644
27440,41611
27440,14409
27440,29766
27440,38892
27440,1128
27440,16871
27440,11680
27440,36120
27440,31352
27440,36991
51,11858
51,7354
51,35301
52,362
52,21896
52,19118
52,5215
52,16003
52,24923
52,1697
53,28578
53,38620
53,10547
53,10210
53,31068
53,30214
53,25836
53,40519
53,35194
53,31368
53,4291
53,32751
53,40468
54,33170
54,18362
54,7360
54,41689
54,18704
54,28653
54,36988
54,3837
54,7967
54,32276
20237,15060
56,224
56,18705
56,33361
56,33606
56,6198
57,15169
57,5270
57,39749
57,34178
57,34211
57,25393
57,41156
57,26570
58,2778
58,30751
58,15009
58,35809
58,32850
58,35261
58,2668
59,18425
59,4286
59,7517
59,13944
59,3979
59,24439
59,26009
59,39295
59,10753
27441,27325
27441,11629
27441,10451
27441,39011
27441,10469
27441,10491
27441,20818
27441,40136
27441,18573
27441,2429
27441,16145
27441,15021
27441,24544
27441,6997
27441,27773
27441,5186
27441,2766
27441,13996
27441,29263
27441,30240
27441,19376
27441,10665
27441,35533
27441,13432
27441,13484
27441,35627
27441,32043
27441,32710
61,10765
61,14636
61,30239
61,36339
34878,4651
34878,29001
324,10146
324,2740
324,11588
324,14344
324,36950
324,14794
324,29034
324,33707
324,34716
324,15048
324,39263
64,31874
64,35915
65,19445
65,7282
66,34658
66,31634
67,41599
67,25312
67,39073
67,228
67,20852
67,37763
68,1025
68,26968
68,9353
68,18585
68,552
68,41148
69,27497
69,37923
70,3299
70,26221
70,24949
70,22620
70,38522
70,40625
71,31240
71,18867
71,18075
71,9411
71,33058
71,29049
71,40108
71,8050
71,20573
71,37585
71,15612
71,21261
71,39703
71,31446
71,6418
71,29460
71,25229
72,23380
72,30254
72,38389
72,15788
72,39749
72,964
72,38564
72,26427
72,12744
72,10359
72,12398
73,28154
73,27588
73,14606
73,13898
73,23827
73,29513
73,6361
73,30116
73,6407
73,17493
73,22473
73,7771
73,39494
74,14561
74,37860
74,37827
74,8065
74,24155
74,7428
74,22436
74,38728
74,4726
74,3561
74,17347
74,21967
74,27185
74,21603
74,39587
74,37308
74,41054
74,8487
74,37046
74,25110
74,26222
74,38697
74,29391
74,505
74,5149
74,36870
74,6894
74,15785
74,2922
74,33598
74,2614
74,8015
74,18885
74,4375
74,2769
74,12011
74,31947
74,26848
74,26189
74,28669
74,33603
74,33599
75,18547
75,21491
75,27214
75,20452
76,36521
76,40967
76,28458
76,7776
76,38098
76,9162
76,23432
76,1808
77,39261
77,19130
78,31097
78,120
79,24579
79,16544
79,15204
79,34257
79,31976
79,22941
79,16957
79,3208
79,1040
79,4771
79,32133
79,14577
79,18258
39758,6192
39758,20279
39758,36730
39758,5634
39758,576
39758,14292
39758,11838
39758,26693
39758,41496
39758,30768
39758,1090
39758,38458
80,24121
80,23633
81,26265
81,28922
81,7186
81,30538
82,11565
82,39036
82,6470
82,41484
82,15597
82,28600
82,20540
82,31485
82,26796
82,3773
82,11865
82,41628
82,13
82,11586
82,22677
82,38586
82,37515
82,13257
82,22030
82,6071
82,27069
82,18741
82,35827
82,24006
82,29175
82,4915
83,37212
83,4024
83,21779
83,4140
83,35398
83,26983
83,32278
83,35863
84,20964
84,10738
85,360
85,25135
85,22453
85,7914
85,38762
85,3704
85,32584
85,40843
85,30816
86,21380
87,38733
87,3549
87,12792
87,28894
87,21686
87,30872
88,38793
88,11421
88,15207
88,18926
88,40852
89,3355
89,5521
90,4181
90,1080
90,20502
90,15287
90,19698
90,38533
90,1859
90,37882
