node_1,node_2
0,2243
0,12084
0,6169
0,4887
0,3694
0,6260
0,6977
0,8788
0,2399
0,1362
1,10168
1,5913
1,1731
1,5459
1,3562
1,8575
1,12886
1,7558
1,3482
1,7573
1,4619
1,7044
8087,7031
8087,10926
8087,7877
8087,6835
8087,11843
8087,3266
8087,6519
8087,9938
8087,5002
8087,12412
8087,11378
2,3831
2,9776
2,4164
2,302
2,9915
3,3780
3,3532
3,11579
4,11937
4,716
4,6680
4588,10080
4588,5660
4588,11809
4588,7723
4588,13880
4588,1179
4588,9969
4588,5856
4588,10476
4588,12576
4588,6901
4588,4160
4588,12872
4588,11518
4588,4478
4588,10847
4588,6530
4588,11465
4588,9525
4588,13546
4588,5963
4588,12938
4588,8794
4588,12533
4588,7688
4588,7748
4588,2394
4588,4377
4588,10490
4588,35
4588,8138
4588,9145
4588,8084
4588,2991
4588,13620
4588,13372
4588,9839
4588,8661
4588,2802
4588,2355
4588,1066
4588,4334
4588,10460
4588,962
4588,6335
4588,2476
4588,2999
4588,7228
6,4401
6,13449
6,13635
6,11489
6,9248
6,13883
6,2599
6,7681
6,10850
6,8828
6,8775
6,9414
6,9346
6,11733
6,10748
6,11201
6,5792
6,1041
6,6262
6,3499
6,385
6,4905
6,6528
6,11995
6,4088
6,12420
6,10990
6,11477
6,10500
6,7612
6,12699
6,9431
6,1531
6,11738
6,3200
6,3974
6,9849
6,5770
6,13138
6,4105
8,5831
8,10253
8,5888
8,10224
8,8885
8,10827
8,127
8,9876
8,6021
8,9191
8,3217
8,13495
8,13488
9,6026
9,57
9,7287
10,4024
10,6030
10,11116
11,5963
11,6013
11,8257
11,8385
12,2317
12,2897
12,6658
12,6456
12,8867
12,7838
12,7778
12,676
12,13096
12,6666
12,6296
12,5674
12,9279
12,13887
12,4414
12,10035
12,1033
12,321
12,3893
12,6174
12,6984
12,546
12,9871
12,10753
12,1237
12,9859
12,12988
12,5848
12,127
12,2670
12,1043
12,10724
12,3722
12,8396
12,12229
12,5722
12,13840
12,12416
12,1994
12,13664
12,5750
12,5805
12,2460
12,856
12,10368
12,7461
12,2401
12,13915
12,8691
12,6987
12,7215
12,8842
12,8585
12,6475
12,7220
12,13256
12,10531
12,10303
12,11380
12,9161
12,2615
12,2850
12,9498
12,301
12,11961
12,5978
12,13693
13,12660
13,6051
13,6165
13,4758
13,11350
13,3249
13,12828
13,4348
13,2529
13,9371
13,1421
13,13497
13,13798
13,9010
13,10410
6893,10914
15,12495
15,1488
16,7925
16,9329
16,8927
16,1385
16,8151
16,5767
16,1392
16,7537
16,1998
17,8793
17,13804
17,6806
17,4873
17,1237
17,4260
17,2858
17,13866
17,4521
17,6714
17,3172
17,11344
17,10516
17,5907
18,529
18,12997
