id,name,new_id
290994417624733,ALDI Australia,11192
5510619796,Wetpaint,10743
254509578109,Q102.7 KBIQ,13087
322744631148014,"Paraná TV, Bom Dia PR e G1 PR",12630
175046706411,easyJet,7453
192099134851,RTL Nieuws,4882
1795995010662381,Tasty Vegetarian,14102
211372376326,NewsRadio 1110 KFAB,111
79007444234,Sears Auto Center,11863
149944271830853,Gemini Music,14031
202151043156155,India.Com - Hindi,5589
103645656349867,Telia Finland,13712
849638278460763,Metro Soaps,6904
125284564164802,Totalplay,10548
91590282596,Johnsonville,8356
6491828674,PBS NewsHour,12416
63255458863,Gatorade,5565
181979211894401,ENGIE,1549
125810355649,WLNS-TV,4906
392279300785550,Suunto,7522
180246551315,UPC Polska,11870
145708278784941,Callebaut,3845
122346694516955,Telegraph Travel,3557
122175104501327,El Partidazo de COPE,7609
130488246965592,MTN Nigeria,2299
105441665474,Moldcell,3641
117195465030203,Legendary,13416
153904534654276,Decathlon Dubai,1411
7239334663,USAA,13521
431665770216673,롯데리아 (LOTTERIA),6537
215787515133155,Boursin Cheese,6538
310621318958658,Rappler,8454
40373497138,Salesforce Marketing Cloud,4848
226077797402540,Bob's Brasil,9610
126635504196352,Fruttare,9906
431011700319323,BuzzFeed Community,9808
198222053563803,SK플래닛 스튜디오,10202
256167122240,KidZania Dubai,2287
163245335809,BAR ONE,3982
41213136791,Stampd,7807
113333248697895,VOA Amharic,1593
49709098596,P4 Östergötland Sveriges Radio,4123
400998100012938,Where We Live,1662
116451745069490,Ball® Canning & Recipes,13352
39917786433,Carambar,14055
637528813060556,SEC on ESPN,7091
501278976571738,NESTEA,13307
354931727894949,The Tab Bath,1036
115632155195201,PalermoToday,13061
903954726355830,ODDSbible,358
209259809154822,Yapı Kredi İnsan Kaynakları,11561
162880980862726,Red Hat,10127
56845382910,HuffPost Politics,5657
725320624152995,Bizwomen,3631
172145722975250,PressProgress,10902
436311199773958,Back to Nature,12804
575970239085548,Cuponatic,13624
115104055206794,DR Nyheder,3830
970701216283228,La Vache Qui Rit Arabia البقرة الضاحكة,13432
158754364205174,Malta Communications Authority - MCA,4338
1395242620783936,果籽,1408
170000993071234,Stop & Shop,5195
1433835800214625,The Local Denmark,6487
151600258212887,Sweet Home Farm,9629
100855800067586,Jetstar Hong Kong,12903
1633535693574047,Tasty Japan,8613
640307582665941,GoAir,505
129026457221288,Marriott Hotels,6072
422736714509712,Radio 10,4889
154881297559,CarWale,8165
236911096464979,Fickle Fish Films,666
361146504088039,Ricola,1064
422575697762306,Lenovo Argentina,2592
453668238025114,Skyscanner,10638
536587366407839,Shake Shack Middle East,3318
21001247744,HSN,3010
230474383745527,BandNews FM Salvador,10677
126226527412874,Kickin Country 103.1,10735
318269139439,Tendens i P1,4508
1399637916952318,Correctiv,4189
1222857311135336,Snopes Video,11169
128205643885929,The Inertia,4869
146030012078459,Hot Tamales,2691
148646721874,Sprinklr,13302
285843661522272,Castello,569
107120516010831,Cauet,12667
53316485673,PBS SoCal,223
349658008496756,MLC Australia,4565
507261049336675,Local Memphis,12608
209629345766240,France Bleu Berry,9945
59829379752,99.1 WMYX,10754
221643727964776,Microsoft,1119
134570403224681,PureWow,10067
210121695693833,中國信託優惠情報“讚”,1281
143899872331322,DanceOn,658
67884984384,Vodafone UK,4319
119721054728044,Gold104.3,12140
172709856097648,ESPN Radio Pittsburgh,5717
286074041589464,Bayer,10350
392026864250166,National Geographic TV,11959
187184964654691,Ford España,9376
316057878492825,MSN News,12978
401689156678148,KFIT,12444
264557191711,ABC Goldfields-Esperance,10693
257000057188,105.7 The BULL,4441
588448867832024,RealClearBooks,11014
131491493700613,Entrepreneur Tech,11324
90383230869,Catch,11917
833905236643356,Netflix,1505
32974073100,Carrusel Deportivo,11864
1141827882556636,Identity - Channel 4 News,3347
431887933512520,Bobo Frut,2929
364274593639705,Corona India,4835
207148722654478,Hyatt Regency,8462
117266245005679,Smucker's,5291
261908323849469,KLM South Africa,13864
64588666340,Haaretz.com,9309
51620603446,LEX 18,11143
283127255038093,Revista Qué Pasa,13211
280222178773523,Lidl Reisen,1087
285042408242833,Reboot Illinois,6730
40155181493,Toys''R''Us,12409
602564896458273,Curling-DCV,647
82491933861,Eggland's Best Eggs,478
12216188250,Absa,6587
1434770603497104,ScoopWhoop Videos,9397
337406841340,Claro Honduras,11736
142498802442081,Adairs,3396
77280186885,Auto Bild Indonesia,11755
126346817564960,Catlike,5275
176493889191121,Easy Taxi,13729
219929104689014,Luxury Escapes Travel,4236
183894928324904,Vidpresso,13286
120942427951729,Zodiak Online,8930
240695874348,KISS FM Phoenix,12567
54971236771,NASA - National Aeronautics and Space Administration,174
575382449150008,CW17 Jacksonville,9587
382789755153045,信報財經月刊,4581
742302575784728,Hermès,12576
190060607868995,Houzz,1746
1119275921432308,Sprinklr Brasil,10361
52487798801,KTNV Channel 13 Action News,6898
208842122619562,Newsner Deutsch,11608
336760059841,Austrian Airlines,5962
243264232461629,Standard Chartered India,2285
367859780008233,Total,6128
212180148914424,Lucky Charms,963
203525053017188,Tigo Tanzania,11787
110803485657194,Marabou Danmark,905
81753537108,Direct Energie,13427
868876563129583,NBC Asian America,3974
1569940483249815,PopSugar Deutschland,2429
1421493814761983,Unilever Food Solutions España,2808
193853000653473,Red Bull MOBILE,2866
73563300980,The Situation Room,10954
8831006701,PAUL & JOE,13148
148662828478047,Starbucks Mexico,4974
267995220856,Slashdot,1219
214025875383856,The Tab Kent,11023
204430626300528,DW (Français),11989
1017507088259282,POLITICO New Jersey,9659
194168474157,Fantagazzetta,8014
194742463937795,Bayer Carreiras,11970
84917688371,Cartoon Network,2612
25785379092,PRÜNE,4408
676458045823918,GazzettaWorld,4093
145657902122547,WD,7591
146942402005644,L'OCCITANE en Provence,1129
959282644191199,Baci Perugina,5062
130036363738096,Xerox,6447
482027708554873,TUC,5865
367675533729,Univision Puerto Rico,11515
