node_1,node_2
0,276
0,58
0,132
0,603
0,398
0,555
1,265
1,611
2,265
2,182
2,345
3,608
3,377
3,40
3,352
3,450
3,484
3,299
3,65
3,185
3,228
557,227
557,182
557,90
557,151
557,394
4,265
4,287
4,254
4,336
5,503
6,429
6,163
6,486
6,478
6,518
7,293
7,265
7,305
7,339
7,35
7,444
7,583
8,278
8,434
8,73
8,98
8,369
9,317
9,288
9,206
9,289
9,249
9,593
9,434
9,254
9,550
9,131
9,446
9,89
9,90
9,265
9,15
9,340
9,248
9,229
9,56
9,570
9,189
9,611
9,107
9,23
9,465
9,67
9,351
9,498
10,393
10,258
11,212
11,485
11,264
11,380
11,174
11,259
12,548
12,618
12,310
13,352
14,264
14,326
15,265
15,70
15,340
15,67
15,454
15,505
15,43
15,432
15,56
16,516
16,119
16,400
16,545
16,334
16,237
16,374
16,117
16,274
16,613
16,466
16,75
17,185
17,608
17,450
17,299
17,65
18,265
408,265
408,418
408,581
408,143
408,599
20,324
20,355
20,481
20,238
20,242
20,160
21,516
21,441
21,329
21,334
22,270
22,187
22,104
22,22
22,420
23,434
23,58
23,128
23,257
23,288
23,277
23,182
23,340
23,157
23,227
23,343
23,54
23,67
24,547
24,230
24,502
24,306
24,501
24,591
25,363
26,230
27,424
28,147
28,230
28,527
29,49
30,126
31,285
31,424
31,543
31,357
31,507
31,508
31,491
31,169
31,595
31,41
31,63
31,327
31,266
31,48
31,179
31,546
31,518
31,142
31,449
31,269
31,524
31,488
31,515
31,193
31,315
32,89
32,265
32,183
32,611
32,364
32,581
32,159
32,300
357,543
357,504
357,118
357,430
357,524
357,508
357,164
357,165
357,127
357,395
357,596
357,79
357,515
357,48
357,448
357,179
357,518
357,335
357,307
357,491
357,572
357,313
357,63
357,45
357,532
526,552
526,70
526,517
526,181
526,558
526,519
526,352
526,462
526,224
526,235
526,536
526,403
526,363
526,195
526,388
526,498
526,87
517,181
517,403
517,224
517,235
34,89
34,419
34,254
34,265
34,373
34,208
35,536
35,383
35,289
35,389
35,131
35,597
35,338
35,87
35,89
35,90
35,265
35,601
35,56
35,58
35,611
35,439
35,615
35,195
35,198
35,618
35,243
36,490
37,389
38,518
411,449
40,344
40,333
40,352
40,538
40,484
40,240
41,434
41,265
41,594
41,397
41,62
41,465
41,193
41,109
41,611
41,321
41,121
41,282
42,467
43,253
43,102
43,265
43,360
43,577
43,39
43,340
43,229
43,83
43,505
43,67
44,265
180,496
180,331
180,209
180,520
46,417
46,550
46,86
46,317
46,578
46,110
46,67
