node_1,node_2
0,3630
0,4634
0,5187
0,3428
0,928
0,6303
0,1703
0,3914
0,448
0,1441
0,449
0,629
0,3234
0,4467
0,1047
0,5724
0,6458
0,2916
0,1745
0,1258
0,4211
0,2156
0,557
0,2101
0,2497
0,1743
0,4449
0,5019
0,4244
0,5638
0,378
0,2337
0,2213
0,1947
0,1715
0,6047
0,4065
0,3037
0,5416
0,1837
0,1173
0,5921
0,6385
0,5589
0,5335
0,772
0,2933
0,1988
0,5650
0,6231
0,6639
0,806
0,4863
0,4403
0,6792
0,2807
0,2318
0,2180
0,4637
0,875
0,5340
0,4046
0,3595
0,1324
0,2170
0,6357
0,528
0,5571
0,5627
0,1874
0,1145
1,6872
1,3399
1,5600
1,5320
1,3141
1,1629
1,5352
1,2044
1,686
1,7034
1,6540
1,3185
1,2416
1,5514
1,6615
1,6777
1,3583
1,2109
1,4290
1,2927
1,2344
1,5876
1,7016
1,4028
1,6260
1,1781
1,4458
1,3899
1,5046
1,3325
1,6894
1,6493
1,3046
1,6647
1,6992
2,2351
2,1026
3,4542
3,2187
3,3885
3,711
3,1709
3,3750
3,6876
3,91
3,1339
4,3916
4,2519
4,4883
4,4538
5,2627
5,4810
5,3265
5,3382
5,1134
5,2522
5,276
5,4907
5,3153
5,2118
5,5293
5,4551
5,1203
5,3749
5,386
5,3905
5,5978
5,5056
5,536
5,3678
5,1938
36,5394
36,5402
36,2158
36,4206
36,2871
36,5526
36,2047
36,6859
36,2195
36,2211
36,3960
36,939
36,1881
36,2708
36,6412
36,5930
36,6341
36,6285
8,11
8,1481
9,1042
9,3117
9,2972
9,2757
9,5091
9,2951
10,1434
10,1096
10,3191
10,1573
10,3265
10,4684
10,3023
10,147
10,4550
10,14
10,348
10,328
10,464
10,501
10,948
10,270
10,3678
10,2697
11,1827
11,2736
11,3792
11,450
11,1147
11,3427
11,2666
11,6686
11,4510
11,6384
11,4581
11,3655
11,660
11,2079
11,5387
11,1368
11,3773
11,538
11,4307
11,5020
11,6365
11,6378
11,5021
11,6857
11,4217
11,6574
11,513
11,1481
11,416
11,2245
11,4941
11,561
11,3844
11,2851
11,1693
11,4598
11,3869
11,5784
11,3590
11,3634
11,4447
11,3352
11,6148
11,1224
11,5545
11,6699
11,5925
11,1442
11,1296
11,5742
11,88
11,6416
11,5266
11,4790
11,1985
11,271
11,3425
12,4070
12,2763
12,4696
13,5142
13,397
13,95
13,3427
13,1390
13,855
13,6680
13,596
13,3742
13,3768
13,6094
13,219
13,1364
13,5668
13,6850
13,1547
13,3437
13,1822
13,6101
13,2418
13,2055
13,2851
13,6112
13,2068
13,5448
13,5816
13,5788
13,311
13,1040
13,2141
13,4839
13,6508
13,5681
13,6052
13,3084
13,4392
13,2573
13,3534
13,2167
13,2782
13,3172
13,757
13,4270
13,5997
14,1121
14,6397
14,4299
14,4876
14,3023
14,2989
14,2473
14,2289
14,1938
14,3601
14,2843
14,1203
14,4187
14,5909
14,6634
14,998
14,536
14,276
14,650
14,5606
14,1096
14,4157
14,589
14,2499
14,3031
14,2144
14,959
14,6278
14,5781
14,2536
14,4551
14,3749
14,1819
14,1074
14,3218
14,2697
14,609
14,3117
14,3265
14,1434
14,1134
14,4316
14,3892
14,6656
14,5892
14,3528
14,4810
14,2799
14,6837
14,2531
14,5373
14,3449
14,6143
14,268
14,1759
14,2125
14,207
14,1684
14,4138
14,3614
14,878
14,6538
14,147
14,3705
14,4907
14,3153
14,348
14,2522
14,7004
14,1731
14,5978
14,386
14,3905
14,6285
14,4322
14,5798
14,270
14,3678
15,1303
15,2354
15,6894
15,288
15,5596
15,4028
15,5086
15,523
16,4180
16,2607
16,4121
16,1935
16,3026
16,4003
16,4952
16,2976
16,2001
16,4111
16,4832
16,410
16,744
16,2503
16,6691
16,2884
16,562
16,2543
16,493
16,3269
16,4710
16,1810
16,6114
16,296
16,4077
16,6295
16,2686
16,212
2857,820
2857,2072
2857,496
2857,210
2857,3544
2857,6679
2857,4147
2857,2586
2857,628
2857,385
2857,4855
2857,973
2857,3080
2857,886
2857,4894
2857,4993
2857,4156
2857,6050
2857,3135
2857,922
2857,1252
2857,1547
2857,2612
2857,6403
2857,1890
2857,4921
2857,1886
2857,4944
2857,6278
2857,2047
2857,6193
2857,4389
2857,691
2857,3466
2857,5301
2857,2214
2857,196
2857,4437
2857,2770
2857,6719
2857,897
2857,6576
2857,6928
2857,259
2857,2924
2857,140
2857,311
2857,5679
2857,6693
2857,5419
2857,2142
2857,4119
2857,5253
2857,2344
2857,4025
2857,6783
2857,4810
2857,2971
2857,2801
2857,6121
2857,5491
2857,4899
2857,2870
2857,949
2857,4736
2857,5402
2857,6237
2857,7038
2857,2193
2857,1868
2857,3640
2857,5599
2857,1069
2857,2835
2857,3923
2857,2259
2857,3073
2857,3905
2857,1701
2857,6285
2857,425
2857,5906
2857,1731
17,985
17,2604
17,5086
17,6977
17,6880
17,3575
17,2918
17,2736
17,5913
17,6775
17,3472
17,6658
17,832
17,5327
17,5616
17,3726
17,4871
17,837
17,5945
17,2447
17,6290
17,1693
17,111
17,5487
17,4070
17,5680
17,1325
17,777
17,390
17,1548
17,175
17,6321
17,5313
17,2529
17,4817
17,6447
3508,2198
3508,60
3508,886
3508,5131
3508,1210
3508,5136
3508,5974
