node_1,node_2
0,9461
0,13035
0,12979
0,24089
0,10036
0,20763
0,5685
0,7738
1,20316
1,6326
1,25969
1,902
1,9745
1,1818
1,15628
1,11623
1,13401
1,17674
1,16905
1,10796
1,19436
1,792
1,12387
2,19951
2,5731
2,19447
2,1715
2,25957
2,20251
2,24120
2,6084
2,26875
2,10828
2,5597
2,18050
2,15695
3,16931
4,13375
4,11303
4,15209
4,10826
5,16737
5,17803
5,25492
6,24751
6,8549
6,25436
6,13741
6,11370
6,11479
6,13553
6,3754
6,13225
6,8379
6,24982
6,23003
6,9940
6,20958
6,17576
6,1748
6,3140
6,8647
6,3949
6,11986
6,11393
6,26505
27718,12141
27718,24259
27718,21622
27718,2360
27718,10416
27718,10532
27718,21664
27718,15172
27718,18668
27718,14219
27718,2158
27718,26967
27718,2630
7,19485
8,503
8,5856
8,2332
8,15624
8,20530
8,18051
8,8997
8,19974
8,9146
8,2107
8,15386
8,12738
8,4793
8,21309
8,26717
8,21199
8,26687
8,217
8,25731
9,7806
9,9154
9,22362
9,14850
9,17269
9,18388
9,20343
9,527
10,15778
10,18083
10,18787
10,12888
10,8856
10,4678
10,10357
10,12406
10,6650
10,13420
10,9059
10,11598
10,918
10,27237
10,6833
10,23513
10,20677
10,6191
10,17189
10,18253
10,12924
10,27564
10,11526
10,22510
10,654
10,24951
10,8737
10,2931
10,9129
10,24717
10,22097
10,17963
10,11635
10,12936
10,26949
10,5651
10,3244
10,19126
10,18075
10,26499
10,14664
10,23780
10,25925
10,11235
10,7556
10,4444
10,19494
24755,12732
24755,7408
24755,770
24755,25626
24755,26304
24755,20303
24755,700
24755,13907
24755,20220
24755,12609
24755,26459
24755,2021
24755,22198
24755,27665
24755,12271
24755,2732
24755,25188
24755,19431
24755,7645
24755,17931
24755,3323
24755,6524
24755,11830
24755,14260
24755,17888
24755,3173
24755,4391
24755,14172
24755,7397
24755,10429
24755,27296
24755,24109
24755,337
24755,3908
24755,23847
24755,16405
24755,11392
24755,13895
11,2396
12,18355
12,24619
12,23111
12,11567
13,529
13,22633
13,19932
13,21221
13,7784
13,1793
13,11254
13,25625
13,26565
13,17816
13,19799
13,14161
13,22923
13,12285
13,6595
13,12476
13,2027
13,21145
13,10135
13,12038
13,8646
13,17458
13,13669
13,7338
13,8496
13,4007
13,1050
13,12852
13,10884
13,21977
13,20211
14,5790
14,12862
14,674
14,420
14,25076
14,16618
14,15895
14,12081
14,4858
14,23763
14,22402
14,18588
14,9880
14,12986
14,24958
14,14942
14,15902
14,16777
14,27232
14,8239
14,17925
14,3039
14,17988
14,18462
14,20027
14,20310
14,7976
14,5833
14,16162
14,17552
14,22462
14,27526
14,20954
14,26687
14,1721
14,27211
14,26018
14,13643
14,760
14,24430
14,1329
14,22517
14,4030
14,15711
14,21378
14,19179
14,18483
14,27873
14,1463
14,21537
14,13748
15,5651
15,21156
16,22472
16,13679
16,1739
16,11829
16,12739
16,16
16,5986
23133,3810
23133,13042
23133,7526
23133,24464
23133,17018
23133,11949
23133,22443
23133,1394
23133,19856
23133,71
23133,13557
23133,24761
23133,12629
23133,15835
23133,4358
23133,19092
23133,25088
23133,25378
23133,8710
23133,6251
23133,16644
23133,24431
23133,1329
23133,26387
18,27296
18,2303
18,6724
18,2221
18,20352
18,12461
18,18934
18,4452
18,6129
18,21636
19,25413
19,32
19,18005
19,11264
19,569
19,3260
19,25988
19,25020
19,9521
19,27075
19,22383
19,24373
19,25009
19,13401
19,17887
19,13006
19,1600
19,19957
19,26337
19,22922
19,19875
19,4852
19,16168
19,25354
20,5141
20,20107
20,20028
20,8209
20,11943
20,7321
20,1204
20,12356
20,7357
20,1264
20,26712
21,10926
21,18332
21,4203
21,4506
21,18005
21,11660
21,11544
21,6626
21,5366
24937,27700
24937,13959
24937,8372
24937,10121
24937,26303
24937,7682
24937,10690
24937,21931
24937,23151
24937,23764
24937,2652
24937,4743
24937,3289
24937,1423
24937,23005
24937,4868
24937,14992
24937,1622
24937,15052
24937,5688
24937,9378
24937,20608
24937,2529
24937,16388
24937,26237
22,16147
22,24501
22,12895
22,3228
22,7790
22,2211
22,8381
22,21688
22,6359
22,13995
22,8978
22,10879
22,20070
22,6277
22,6020
22,2742
22,18579
22,16503
22,9280
22,11427
22,7249
22,17081
22,11714
23,8252
23,3811
23,7439
23,6471
23,5415
23,23700
23,11409
24,14341
24,18752
24,732
24,1459
24,8886
24,25501
24,8343
24,16997
24,5132
24,1734
24,9513
24,12784
24,1749
24,18158
24,18508
25,16164
25,22339
25,10856
25,26690
25,7118
25,7099
25,4092
25,5227
25,13255
25,8125
25,9309
25,6776
25,3648
26,12227
26,24949
26,25691
26,231
26,940
26,16858
26,22879
26,7875
26,1697
26,27380
27,13496
27,12926
28,3783
29,12557
29,4912
30,20695
30,4555
30,3506
30,14919
30,1513
30,9370
30,5777
30,1053
30,4307
30,15623
31,9549
31,19727
31,7798
31,1762
31,8497
31,2109
31,744
31,7669
31,6348
31,13982
31,14863
31,9812
31,6039
31,6935
31,27406
31,4628
31,22843
31,20277
31,6319
31,11425
32,25413
32,341
32,14352
32,7759
32,18005
32,26217
32,6566
32,23336
32,13537
32,5422
32,9595
32,17905
32,15421
32,14075
32,16837
32,25426
32,20524
32,13006
32,1600
32,17775
32,2576
32,25228
32,9709
32,18785
32,19875
32,4852
32,23557
32,24701
32,17590
32,27734
32,6483
32,10313
32,22922
32,12229
32,2868
32,4746
32,22711
32,25020
32,14918
32,17715
32,22383
32,24373
32,27178
32,12070
32,5465
32,25847
32,11102
32,24948
32,14532
32,26948
32,1516
32,14708
32,14650
32,4354
32,1071
32,19246
32,17887
32,23829
32,27316
32,27075
32,11307
32,79
32,409
32,22109
32,13490
32,7278
32,25016
32,633
32,10109
32,734
32,14217
32,969
32,9764
32,12302
32,6520
32,5798
32,5027
32,25988
32,25759
32,19169
32,16272
32,18095
32,7643
32,21040
32,13401
32,1559
32,15677
32,8080
32,12125
32,19957
32,26332
32,3260
32,16168
33,18562
33,11236
18502,21431
18502,15406
18502,6852
18502,18607
18502,11393
18502,25075
18502,15715
18502,18492
18502,1224
18502,10994
18502,8379
18502,1859
18502,18308
18502,20652
18502,9186
18502,13687
18502,8699
18502,3247
18502,15126
18502,8676
18502,14321
18502,10625
18502,5283
18502,21830
18502,15057
18502,7777
18502,17300
18502,11838
18502,14616
35,21544
35,20128
35,25648
35,18881
35,24996
35,7314
35,25615
35,22336
36,16280
37,9903
37,21938
37,2339
37,7498
37,22351
37,1984
37,22895
37,8662
37,15331
37,12501
37,11647
37,11125
37,17023
37,9743
37,16180
37,7373
37,21769
37,11598
37,19136
37,4051
37,10443
37,727
37,27287
37,21288
37,14485
37,20310
37,23416
37,16018
37,11186
37,6843
37,26499
37,13474
37,6337
37,10485
37,11346
37,25149
37,17365
37,1605
37,16013
37,19494
37,7553
38,26558
38,23995
38,19785
38,622
38,11809
38,12112
38,4091
38,11397
38,13356
38,17698
38,12403
38,16844
38,5842
39,14980
39,25806
39,9734
40,9214
40,4958
40,12129
40,8452
40,18406
40,5932
40,17946
40,20750
40,6691
40,6831
40,5632
40,202
40,20871
40,13629
40,14285
40,16394
40,12889
40,12919
40,25208
40,21140
40,8029
40,2593
40,23454
40,10996
40,332
40,24399
40,6584
40,19912
40,24566
40,2853
40,10197
40,8938
40,11767
40,13663
40,11209
40,1865
40,7971
40,17357
40,7139
40,7114
40,5105
40,24572
40,12532
40,5528
40,3242
40,15792
40,26989
40,15339
40,16822
40,8104
40,16248
40,2222
40,24746
40,10673
40,24104
40,25716
40,27630
40,9896
40,578
40,13293
40,6849
40,1237
40,4270
40,13130
40,13416
40,2311
40,26839
40,24617
40,9199
40,17323
40,19681
40,22861
40,11700
40,18845
40,13926
40,26475
40,17932
41,26972
41,10108
41,25873
41,1232
41,11091
41,23344
41,20762
41,1721
42,17655
42,27686
42,25227
42,3613
42,22685
42,22226
42,26348
43,10818
43,19419
43,18436
43,2042
43,22732
43,4017
43,9842
43,2588
43,20868
43,18409
43,16021
43,14282
43,8291
43,11023
43,719
43,8255
43,20954
43,3621
43,4577
43,1708
43,18728
43,24137
43,4606
43,3607
43,21090
43,20725
43,26861
43,12657
43,20601
43,3871
43,6274
43,17645
43,12689
43,27626
43,27658
43,24073
43,14144
43,3249
43,9324
43,14196
43,15711
43,12418
43,7924
43,17811
43,4487
43,4479
44,19695
44,10089
44,2158
44,9548
44,23333
44,20209
44,12986
44,13509
44,9262
44,7420
44,17883
44,9619
44,24513
44,17441
44,23318
44,5834
44,21701
44,81
44,15576
44,20965
44,7461
44,22141
44,14692
44,27910
44,7980
45,4918
45,13599
45,17269
45,26451
45,22548
45,11198
45,5044
45,25731
250,6932
250,21954
250,17683
250,966
250,11754
250,14246
250,16797
250,17113
250,20673
250,10653
250,20098
250,16801
250,15458
250,22354
250,4123
250,13203
250,3295
250,12771
250,16667
250,23264
250,17444
250,1871
250,12567
250,24856
250,15882
250,2329
250,21297
250,16957
250,10578
250,24173
250,6984
250,18458
250,10429
250,10678
250,21069
250,21707
250,21836
250,12433
250,23699
250,19906
250,15143
255,14473
255,27582
48,7532
48,17254
48,8689
48,22625
48,4225
48,20458
48,22209
49,21506
49,6170
49,16341
49,2662
49,24809
49,284
49,984
49,2993
49,6359
49,22566
49,26810
49,27046
50,12166
50,26490
50,22849
50,4741
50,18917
50,6383
50,24910
51,9933
51,25660
51,26640
51,22243
51,26455
51,3033
51,22921
51,17876
51,22381
51,19943
51,10011
51,24964
51,26987
51,12534
51,11111
51,11092
51,13737
51,7004
51,8841
51,26470
51,14771
51,15579
51,3974
51,11542
51,1124
51,23043
52,67
53,11762
53,11128
54,16547
54,2227
54,21391
54,4279
54,27284
55,15662
55,25954
55,26029
55,3913
55,1855
55,2258
55,15144
55,21958
55,23588
55,5672
55,21751
55,4258
55,13146
55,26790
55,3194
55,18181
55,22676
55,5246
55,15286
55,8073
55,6947
55,332
55,4805
55,21878
55,22885
55,19928
55,9896
55,796
55,10107
55,6560
55,6046
55,18474
55,8111
55,27517
55,25068
55,25684
55,23164
55,24359
55,18886
55,18079
55,21462
56,12447
56,5538
56,4072
56,19837
57,18061
57,18086
58,13033
58,6757
59,6892
59,18184
59,25170
60,25414
60,21186
60,22596
60,6018
60,26936
60,17429
13964,19095
13964,19874
13964,19283
13964,7880
13964,20742
62,13138
62,2358
62,498
62,23880
62,1020
62,4805
62,526
62,8647
62,16849
62,20958
62,18943
62,1721
62,11935
62,18977
63,13745
63,7852
63,23093
63,21985
63,22797
63,9795
63,9380
63,19025
63,877
63,25155
63,26129
63,4309
63,6549
63,25398
63,21991
63,5076
63,6423
63,8806
63,2480
63,4137
63,11897
63,7499
63,5864
63,23350
64,2507
64,9738
64,14697
65,6669
65,16580
65,4964
65,12379
65,24499
65,14528
65,9076
65,25586
65,24683
66,20043
66,26082
67,16014
67,7104
67,21982
67,2042
67,24968
67,22478
67,1392
67,27131
67,3664
67,13837
67,10468
67,11133
67,1666
67,27593
67,14495
67,1287
67,14917
67,21871
67,27654
67,14364
67,5216
67,4313
67,21094
67,16833
67,19338
67,19123
67,24661
67,757
67,26066
67,14857
67,18129
67,3249
67,5690
67,4426
67,27813
67,13040
68,2009
68,68
68,21544
68,27022
68,8296
68,7742
68,17239
68,6222
69,5194
69,10557
69,16431
69,26704
69,1638
69,24628
69,16922
69,24395
69,15882
70,26830
70,16973
70,5036
70,4547
70,10978
70,23686
70,26873
70,17228
70,4541
70,9080
70,4202
70,12626
70,10449
70,24357
70,19166
70,13396
70,20164
70,20053
70,18057
70,18063
71,11456
71,999
71,13529
71,18058
71,3347
71,13530
71,14477
71,17239
71,235
71,23640
71,6992
71,20070
71,26788
71,24003
71,14064
71,14361
71,7735
71,19856
71,27139
71,6999
71,3457
71,7884
71,5547
71,10504
71,4865
71,25288
71,6366
71,1269
71,23010
71,6247
71,4639
71,2133
71,16170
71,6251
71,19543
71,4423
71,14997
71,18665
71,2921
71,138
71,20209
71,24131
71,22518
71,3116
71,8447
71,16405
71,19011
71,18673
71,13687
71,16738
71,8373
71,25814
71,1911
71,4521
71,20331
71,4377
71,23906
71,3009
71,2782
71,15440
71,11378
71,376
71,16206
71,15336
71,10524
71,13557
71,21421
71,13232
71,7139
71,14831
71,4870
71,20770
71,17931
71,8655
71,22388
71,5651
71,18723
71,17297
71,1298
71,11392
71,9280
71,22602
71,13356
71,14639
71,18815
71,7148
71,2586
71,1411
71,24160
71,27522
71,16867
71,16228
71,13778
71,22046
71,15255
71,9190
71,13126
71,27062
71,18716
71,10435
71,23479
71,25253
71,15150
71,642
71,13169
71,19137
71,16028
71,26288
71,10756
71,416
71,5186
71,20025
71,19139
71,24514
71,13051
71,18184
71,301
71,15299
71,1081
71,4361
71,519
71,12504
71,6842
71,13269
71,14325
71,1964
71,14589
71,5376
71,16041
71,10350
71,25925
71,193
71,21675
71,3530
