id,name,new_id
110134099668,RadioTunes,27520
1698945480322189,Cameron Thompson,21450
199807093384960,Meteorologist Terran Kirksey,16014
231183476901428,Julie Carey,10814
130968530253684,630 CHED,13496
5510619796,Wetpaint,19215
254509578109,Q102.7 KBIQ,27433
169828741647,Niagara Falls Review,13193
599330996754016,Ashley Edlund,1274
344026838530,99.7 The Lake,13413
322744631148014,"Paraná TV, Bom Dia PR e G1 PR",13946
605218116224897,Craig Birnbach,3953
321668054486,Norrbottens-Kuriren,13818
31651194981,Q2 News,20087
111949065494196,EDP Norfolk,25780
173077062832630,Julio Vaqueiro,18324
192099134851,RTL Nieuws,2512
1795995010662381,Tasty Vegetarian,13954
105456679546357,Michael Konopasek,6024
211372376326,NewsRadio 1110 KFAB,7050
440653956021225,Ann Marie LaFlamme WXYZ,6765
203206913055203,Raj Mathai,4924
706219259483271,Nacional FM Brasília,4625
149944271830853,Gemini Music,13912
307194069403540,Offizielle Homepage Wolff- Christoph Fuss,3954
31773545598,Darius Rochebin,25433
170781896295297,Plastik,184
179497145428273,VivaCité - RTBF,19596
262024820663488,Ashley Garner WLBT,22832
132772456754014,Brooke Katz,12822
202151043156155,India.Com - Hindi,4020
196001120414432,Paris Jackson TV News,5868
373535112855987,Alice McKeegan,7090
649919151800201,Sharon Yoo,13930
248217088548325,Dan Katz,26000
239948206465,Denise Valdez,5776
849638278460763,Metro Soaps,10497
6491828674,PBS NewsHour,20055
214418065283026,Luke Jones WREG,18628
149428545124896,Lauren Elise,27591
519421241513976,Meteorologist Mike Rizzo,11812
122341761111608,News5 Features,4712
231112970259813,Doppler Tim Hedrick,11217
334183579948914,Pure Country 106.7,8281
33462622423,Conseiller.ca,15238
125810355649,WLNS-TV,23315
636201609905885,NiT Out of Town,10853
463468067174471,Caitlin Kelly,3102
194343517266786,Rick Montanez,22758
1490286521190077,Mike Kilburn,21205
722255464523288,Brandon Spinner WAFF 48 Meteorologist,5615
122346694516955,Telegraph Travel,1814
1634854556803788,Lucas Geisler ABC 17 News,1933
134301846626811,ABC13-Jeff Ehling,5410
888441881173041,Andrea Blanford,15410
224036484420966,Dan Ingham Gameday,1209
205637182809496,Rebecca Klopf,26422
209759635733736,RMC Sport,20663
