node_1,node_2
0,1972
0,5111
0,138
0,3053
0,1473
0,4978
0,4523
0,2334
0,1038
0,3923
0,3874
0,766
0,98
0,2676
0,1547
0,3622
0,5292
0,5455
0,2755
0,568
0,1849
0,980
0,1578
0,4674
0,876
0,3842
0,5866
0,3883
0,2524
0,961
0,5154
0,3372
0,2639
0,3099
0,2852
0,1909
0,4537
0,1676
0,4924
0,724
0,5855
0,4157
0,2051
0,4630
1,4413
1,4896
1,5471
1,3531
1,1965
1,2565
1,3317
1,5565
1,2448
1,955
1,3699
1,519
1,3849
1,5557
1,1618
1,3779
1,3550
1,3866
1,5729
2,4073
2,641
2,2111
2,5061
2,147
2,453
2,1454
2,1707
2,5867
2,4016
2,2708
2,5438
2,762
2,1997
2,2386
3,1712
3,3833
3,1172
3,5062
3,1449
3,3940
4,2075
4,396
4,2739
4,1812
4,3693
4,4938
4,2536
4,5110
4,1997
4,2353
4,3173
4,810
4,2017
4,4745
4,2293
4,1845
4,3721
4,4247
4,2812
4,2387
4,2296
4,208
4,5344
4,3368
4,1602
4,5033
4,2779
4,1439
4,4303
4,5036
4,5061
4,596
4,88
4,5485
4,4227
4,3072
4,2351
5,4698
5,521
5,4311
5,4398
6,5281
7,535
7,3333
7,1244
7,5204
7,5298
8,191
9,3008
10,5708
11,5694
11,1091
11,3331
11,5882
11,3460
11,1478
11,2767
11,3947
11,4711
11,3720
11,492
11,4570
11,464
11,3576
11,5480
11,3491
11,4967
11,2097
11,1605
11,5442
11,1581
11,4248
11,3925
11,4076
11,5393
11,2195
11,5570
12,2148
12,3867
12,5768
12,527
13,1864
14,1330
14,3685
14,540
14,4509
15,4735
15,487
15,4894
15,1662
15,5536
16,1734
16,5612
16,2148
16,1052
16,2677
16,3048
17,2760
17,709
17,1333
17,2638
17,1835
17,521
17,1159
17,192
18,1160
18,2858
18,3280
18,5043
18,3781
18,1474
18,2299
18,484
18,1519
18,2654
18,5016
18,191
18,5343
18,1258
18,3334
18,24
18,4585
18,5142
18,821
18,1801
18,2570
18,271
18,3571
18,1740
18,2094
18,3387
18,2690
18,1294
18,4119
18,1390
18,4622
18,3615
18,1077
18,63
18,660
18,1832
18,2187
18,2121
18,267
18,3495
18,155
18,2267
18,703
18,2647
18,2239
18,2375
18,3074
18,2213
19,2851
19,5334
20,1324
20,4073
20,641
20,5879
20,147
20,3541
20,1707
20,3037
20,3079
20,5867
20,4016
20,2708
20,3661
20,2386
21,2025
21,5102
21,3726
22,1664
22,4015
22,264
22,1777
22,1232
22,1074
22,5226
22,1804
22,5128
22,2180
22,5288
22,2030
22,3624
22,3301
22,3056
22,1864
22,5279
22,4961
23,2374
23,4620
23,96
193,4490
193,1218
193,641
193,1033
193,2111
193,147
193,3541
193,1707
193,2684
193,3079
193,3885
193,5867
193,2386
193,5879
193,2675
193,762
193,5483
193,5888
25,4121
25,4987
25,1849
25,417
25,3651
25,5758
25,2930
26,503
26,3445
26,2951
26,2520
26,4874
26,5590
26,3744
26,1864
26,3278
26,2958
27,1952
28,4976
28,684
28,450
28,1877
28,5028
224,4714
224,3030
224,1820
224,3443
224,4898
224,196
224,5549
224,475
30,3428
30,477
31,1957
31,4612
31,96
31,4620
31,2374
32,1300
32,1864
33,4893
33,1166
33,4103
33,4942
33,1048
33,5791
33,5118
33,2420
33,1864
34,4806
34,5016
35,3008
36,151
36,5539
36,5011
37,494
37,2692
37,167
37,5258
37,2568
37,1892
37,2830
37,5475
37,182
37,2529
37,2849
37,4095
37,2281
37,4629
37,5303
37,288
38,5322
38,1448
38,2597
38,2935
38,4465
38,2838
38,2742
38,3427
38,1757
38,4064
38,304
38,3902
38,2322
39,2242
39,2534
39,2216
39,4953
39,2678
39,1703
39,3807
39,1916
39,4112
39,5770
39,4667
39,739
39,3411
39,2342
39,4125
39,4928
39,4455
39,2642
39,2715
39,154
39,5833
39,4410
39,1518
39,4346
39,884
40,4415
40,3892
40,5258
40,1775
40,1190
40,1118
41,3435
41,183
41,1140
41,288
42,2777
42,3792
42,1323
43,3563
43,4428
44,4541
44,4739
44,3283
44,5789
44,1226
44,3126
44,2175
44,4855
44,162
44,2842
44,3618
44,5719
44,3924
44,2273
44,5474
44,2469
44,1890
44,4487
44,2798
44,3027
44,4593
44,1009
44,5825
44,3601
44,4100
44,2395
44,1698
44,2396
44,4144
44,1778
44,155
44,2372
44,472
44,2326
44,1978
44,4520
45,4714
45,196
45,1820
45,3443
46,719
46,2839
46,2534
46,2216
46,1042
46,4953
46,581
46,969
46,5015
46,5225
46,3513
46,2242
46,1703
46,5677
46,4587
46,5697
46,3807
46,4112
46,5770
46,3428
46,3594
46,4667
46,3488
46,5051
46,89
46,2161
46,739
46,3411
46,5081
46,2731
46,2342
46,4125
46,4903
46,2678
46,3031
46,4928
46,4455
46,2259
46,2715
46,154
46,5583
46,5833
46,3438
46,4410
46,1518
46,4576
46,4346
46,884
5744,4388
5744,1333
5744,402
5744,3341
5744,5003
47,3008
48,1088
48,3762
48,3802
48,2435
49,4047
49,961
49,4623
49,3121
49,480
49,2713
49,4801
49,5093
49,5855
49,4443
49,5107
50,1052
50,5768
50,3774
51,4877
52,5166
52,611
52,66
52,3986
52,4735
52,2670
52,4894
52,440
52,4676
52,4594
52,4219
52,487
52,735
52,5082
52,5366
52,5536
52,3568
53,2408
53,4722
53,3585
53,3906
54,1912
54,4795
55,1224
55,3588
55,4761
55,2755
55,1368
55,2116
55,480
55,1500
55,2435
55,4501
55,5763
55,5093
55,2334
55,4185
55,4155
55,3874
55,3760
55,2249
55,98
55,1831
55,1344
55,3087
55,2998
55,2015
55,3622
55,169
55,2205
55,5785
55,2337
55,2730
55,4749
55,1849
55,2230
55,3140
55,3260
55,698
55,5312
55,3753
55,2663
55,3684
55,2759
55,470
55,1142
55,1622
55,4047
55,961
55,1909
55,3099
55,4870
55,4537
55,4924
55,2647
55,3489
55,4680
55,724
55,5855
55,4498
55,4911
56,2722
56,434
56,2364
56,2025
56,4499
56,5655
56,577
56,5722
56,3405
56,303
56,5142
56,4725
56,3669
56,5687
56,634
56,3074
56,1991
56,4876
56,4697
56,5102
57,4254
57,4479
57,4706
57,2582
57,4853
57,4516
57,2409
57,1449
57,1664
57,633
57,3056
57,1232
57,1487
57,1821
57,2180
57,2030
57,4961
57,1074
57,1804
57,2972
57,5128
57,264
57,5618
57,5279
57,987
57,5226
57,1777
57,1584
57,3301
57,5647
58,5173
59,494
59,4898
59,2837
59,3030
59,2280
59,1190
59,5759
60,2736
60,1385
60,519
60,4632
60,5168
60,5554
60,3367
60,2565
60,1025
60,3211
60,2948
60,3696
60,426
60,1215
60,5557
60,3550
60,5729
61,3403
61,3611
61,2104
61,541
61,1785
61,3853
61,3367
61,4439
61,1025
61,1836
61,3671
61,3609
61,568
61,5055
61,2202
61,3696
61,3506
61,2522
61,2948
61,2736
61,4815
61,3108
61,1511
61,2612
61,3226
61,2034
61,3329
61,1215
61,3117
61,531
61,3094
61,5321
61,5357
61,5108
61,5086
61,4156
61,3140
61,3321
61,3452
61,4519
61,1965
61,5420
61,2168
61,1540
61,2072
61,779
61,4314
61,4759
61,4205
62,1291
62,3703
62,864
63,5343
63,2187
63,895
63,1893
63,5512
63,191
63,3615
63,3795
63,3901
1742,2186
1742,3330
1742,5091
64,194
64,4017
64,1993
64,1583
64,5100
64,3823
65,3344
65,1041
65,1917
65,4364
65,5712
65,4576
65,5905
65,3156
65,4558
66,5166
66,5536
66,1029
66,4735
66,1662
66,4594
66,5366
67,3576
67,4555
67,5800
67,5288
67,733
67,1824
68,351
68,4674
68,1003
68,4985
68,3806
68,4550
69,1178
69,1632
69,2086
69,4914
69,5446
69,2764
69,5574
69,2558
69,5763
69,3170
69,1282
69,3263
69,2890
69,2337
69,1137
69,1931
69,4810
69,5779
69,3369
69,108
69,3162
69,4598
69,5566
69,420
69,3099
69,1466
69,4293
69,4992
69,3982
69,2979
69,2527
69,4804
