id,name,new_id
127397457601670,陳根德,1661
169014523134260,林淑芬,52
295363753921281,Chris White,3477
613631835423903,Stewart Hosie MP,3193
284882801581896,Frank Schäffler,4425
712493248818711,Jean-François Jalkh,2130
105367536223828,Kennedy Stewart,1716
561507140593570,Hans Andersen,4812
1454302588159101,Scott Emerson,3185
585862021507535,Vittorio Ferraresi,4903
138817676168980,Eruviel Ávila,3669
404900139669473,Angela Crawley MP,1079
711288605584019,Dr. Jorge Silva,5874
238903929634988,Dariusz Rosati,22
660084404031850,Jorge Côrte Real,798
417611728255943,Lynn Westmoreland,5703
118388888197666,Ed Husic MP,4185
71072295365,Paula Bertol,1908
254945391382154,Andy Fillmore,4042
6290032613,Deval Patrick,3345
228018320577056,Janusz Cichoń,828
312413003572,François de Rugy,1406
449993215096972,Jesús de la Garza Chuchín,2623
549641668392122,Gerardo García Castillo,4335
271689652955993,Valeria Fedeli,4966
470717443079516,"Wayne Anderson, United Conservative MLA for Highwood",5183
176548369099092,Barbara Lee,4884
370319116027,Andrzej Halicki,3301
433052760111334,Jarosław Wałęsa,5567
404488589602913,Helmut Brandt,5191
91487861770,Sabine Verheyen,5713
18050788524,Rona Ambrose,2060
199793346871881,Benedita da Silva,639
762308423834688,Alessia Rotta,4286
216342268645,Tony Abbott,519
653930611303743,Anabel Acosta Islas,4693
115142085180173,Baey Yam Keng 马炎庆,5672
153479671489789,Jane Philpott,1680
113158811451,Edward Scicluna,5147
414809308591481,Pablo Iglesias,5425
542937762523338,陳茂嘉,4865
280996218747910,Tim Richardson,2788
258656010969084,Gonzaga Patriota,1445
97347576284,Tomás Gómez,1537
586751814690068,Joni Ernst,4687
1667321103532155,Metiria Turei MP,3006
176212056159223,Markus Hümpfer,2401
414763141986597,Rogán Antal,1732
267044410338956,Bogdan Gheorghiu,2150
1414924505466631,Joshua Morris MP,3305
62373912330,Daniel Hannan,4417
570019879784017,Petr Dolínek,658
285567581556423,"Hon. Candice Bergen, MP",674
127567737259528,Barbara L'Italien,278
81107269227,Mónica Oltra,2526
231656403567259,Lorenz Caffier,119
254367477916796,Jolanta Szczypińska,4654
1428625620718096,Angela Lück,3809
124485667654878,Kakha Kaladze კახა კალაძე,593
452935231455081,Senador Wilder Morais,2952
105589846177501,"Hans-Peter Friedrich, CSU",5482
611619002239146,Senator Don Plett,3380
8569265134,Alexandre Cloutier,1246
174852262702077,Alistair Burt,2019
1155718097801871,Marco A. Mena,847
114486688586371,Tom McGee,1174
1583289685223022,Jonathan Coleman,1748
417477318355776,Steph Ryan for Euroa,1982
36379612880,Cem Özdemir,4023
528887520528857,Randy Boissonnault,468
12173141558,Amanda Rishworth MP,4749
411935132202922,"Karin Strenz, MdB",2591
886968011353216,Stephen Crabb,5012
163923497121139,Andreas Lenz,5422
268166203199602,Hector Gutierrez de la Garza,3733
809004655861249,Andy Burnham,4356
415451491875178,Jürgen Baumgärtner,2669
370525506320360,"Constanze Krehl, MdEP",2599
1114667701881963,Diane Lebouthillier,3541
456395114442888,Patrick Labaune,5200
234233933684975,Kirsten Kappert-Gonther,4496
175361972490283,Simon Busuttil,3719
179856875529257,Padre João PT,1639
875392152484408,Bärbel Höhn,2707
1565513493746791,Senator Linda Frum,922
298621020195483,Julia Klöckner,3460
385459414829351,看見幸福 呂玉玲,424
116868855036962,Craig Ondarchie MP,5718
1089311811153278,Michael Atkinson,2103
480535868644583,Wilfried Oellers,1299
104817488512,Peter MacKay,5285
158595174276816,Deane Rykerson for Kittery,1389
15221804966,Sir Alan Haselhurst,3697
148950081810015,Mike Sonko.,2136
124174484304839,Juan Carlos Varela,2543
500132113477953,Indio da Costa,5230
111295601527,Mike Kelly MP,1220
97640646271,Steven MacKinnon,298
343938391806,Leif Lahn Jensen,4412
378584562192977,José de Filippi,5087
142247399137426,Hugh McDermott MP: State Member for Prospect,1475
259386257405548,Alejandra López Noriega,5463
194243072092,Lisa Nandy,747
1380498935559739,Jenny Salesa MP,2514
390925417751473,Erling Bonnesen,1616
122996304433025,Albert Rösti,3691
588086784652088,Jodi McKay MP - Member for Strathfield,5312
611816152280592,Rita Stockhofe,2127
1627976910848818,Astrid Rössler,3131
193382420696960,Pierfrancesco Maran,3690
456712937738176,Laura Castelli,719
257633467585013,Keiko Ota,3805
729931240351201,Andreas Schwarz,1711
1524680221094223,Cacá Leão,5233
175335262547741,Dan Kildee,5140
393604124061434,Lee Li Lian 李丽连,2169
183481715188303,Theodor Stolojan,4555
323347281121134,Erin McClelland,702
513032565431680,Alexander Funk,1318
607249992636305,Gianluca Vacca,4057
475470169289304,Dan Ruimy MP,2321
157267610953537,Dayne Walling,4794
608278342616098,Marc Tanguay,3173
306796832807017,Carlos Coelho,4103
615832768499515,Marco Affronte,3678
293007130807855,Michael Vietz,3620
618721081566600,Representative Ryan Fecteau,1695
205032482983580,Derek Thomas,3645
275632269117054,Daniel Constantin,3278
10714392889,Simone Baldelli,1891
423677884320318,Kamal Thapa,3447
530529360362928,Guillermo Durand Cornejo,2864
709582595828324,Neven Mimica,1938
298127446960893,Luciana Santos,4951
802874853112843,Philippe Loiseau,2789
491146254290346,Vilma Moronese Cittadina Senatrice M5S,3807
489667171083448,Thomas Gehring,4668
1408142216156387,Lars Chr. Lilleholt,3934
217139118403377,Thyra Frank,5143
1587565344835542,Lelo Coimbra,3341
338686842829477,Ing. Enrique Cárdenas del Avellano,5655
102734125953,Rob Wittman,1681
224408284297413,Fábio Faria,5563
51052893175,Kevin McCarthy,3888
485067324853989,Tammam Salam,678
1766893923542576,Pat Boyd,1735
700066890042747,"Ulrike Trebesius, MEP",3585
80987211775,Bill Cassidy,3349
324023331301080,Ramón Espinar,1772
155184094662465,Kesineni Nani,3681
112192082191063,Dorota Rutkowska - Poseł Platformy Obywatelskiej,1579
164221090300505,Jenny Mikakos MP,108
206866712830769,Nicola Beer,3852
1509535792643315,Edgar Melhem Salinas,2525
422665717788216,חיים כץ - שר העבודה והרווחה,2133
19283272906,Marco Cappato,4671
106730300166,Dave Turcotte,1588
112919645452925,Artur Gierada,5647
174866249236469,Tulsi Gabbard,2981
52418678069,Rainer Wieland,3680
376475555670,Sam Singh,1055
723311241034230,Natalie Suleyman MP,5621
287814831337164,Jesper Petersen,5127
363813773727121,Detlef Wimmer,3966
565826410233605,Suzanne Orr,2930
918395134840916,Jason Nixon,743
539267906164443,Alexandre Serfiotis,4025
212542105581113,Jean Habel - Député de Sainte-Rose,5453
551203304961503,Battulga Khaltmaa,5440
561599087278335,Ivana Maletić,5571
211122988933967,吳思瑤,4594
1492078697732741,Åsa Regnér,4206
255056481315205,José Manuel Fernandes,4893
439102769545668,"Sénateur Claude Carignan, C. P.",502
39665499642,Lisa Madigan,5807
114889085297701,Ricardo Anaya Cortés,1637
123401227737699,Inácio Arruda,1171
159871897429198,Aldo Rebelo,4672
410112025768173,PMO Bhutan,2264
406528039445775,Jan Tore Sanner,4376
711431662229760,"Gudrun Zollner, MdB a.D.",4126
182470865163134,Rocío Giaccone,883
1607118839567229,Ed Vaizey,3870
507639912624014,Werner Widuckel,5159
482689928481708,Steven Ciobo MP,3506
161823267218273,"Ulrike Müller, MdEP",4599
360001881007767,Vicki Howard,4768
165276720205822,Eduardo Paes,725
149819417626,Brian Sandoval,4633
1421722488067369,David Mehan MP,3948
186159618095984,Julio Zamora,4662
355348224482238,Guto Bebb,1240
1657088194515068,Jarosław W. Lasecki,754
422281474541399,Representative Lucy Torres-Gomez,339
6266829799,Sherrod Brown,2782
1562759163995524,Izabela Katarzyna Mrzygłocka - poseł na Sejm RP,4706
719643928050604,Amir Lando,2769
8727117852,Bruce Hyer,2992
163566147024734,Jean Wyllys,2573
235762319779450,Omar Navarro,4758
345367542294194,Paulina Ayala,4772
331406263723146,Niko Grünfeld,4240
396352797074234,Marcus Jones,368
196236967189842,Mauro Del Barba,1312
150412465290475,Kamila Gasiuk-Pihowicz,1694
133557895720,Fernando Chiu-hung Cheung 張超雄,3084
687008454694990,Randolfe Rodrigues,4097
146764322200917,"MUDr.  Rom Kostřica, prof.",3120
948779615147993,Alupa Clarke,4071
1687718864773417,許毓仁,4506
1550441481892785,Emilio Basavilbaso,5337
1431092387136668,Jan Grabiec,1232
609641045716407,Elaine Smith MSP,5080
459919544068013,Poseł RP Paweł Arndt,1821
1506366006307704,Klaus Maier,1990
205041803007679,Maritza Martínez Aristizábal,1032
665462313475794,Lise Bech - Dansk Folkeparti,4402
305624052903563,Ole Schröder,2149
374368637467,Danny Alexander,826
235523829798716,Wayne Easter,1051
689299061082133,Ruedi Noser,376
1663082374011541,Alain Cadec,1179
257529307701966,Jiří Pospíšil,3754
228120027204515,José Manuel De la Sota,545
1483159141915320,Terry Duguid,1185
30127595502,Rachel Norton,1442
145992078937379,Rebecca Harms,3569
302398243193267,Нафтали Беннет,3061
214211071944227,Katja Kipping,1731
53942489961,Abubakar Bukola Saraki,881
709617325724631,Jess Pugh for Mount Ommaney,3883
1847922035424580,Mary Ng,5775
150157525180795,Nuk Korako MP,4520
443342095798161,Emma Husar MP,3694
140169192769764,Marc Joulaud,411
522395934483552,Catherine West MP,4648
415443501985190,Michel Picard,2111
