node_1,node_2
0,1490
0,2742
0,7265
0,8076
0,8844
0,4577
0,1099
0,9669
0,2535
0,9060
0,2260
0,4086
0,710
0,10886
0,8150
0,2954
0,469
0,6012
0,6469
0,122
0,9104
0,7372
1,8431
1,999
1,4827
7763,5080
7763,5363
7763,567
7763,3460
7763,3980
7763,6774
7763,4388
7763,5594
7763,1067
7763,162
7763,6937
7763,7300
7763,7498
7763,2622
7763,415
7763,10697
2,6187
2,10813
2,2830
2,9340
2,8786
2,5303
2,8605
2,3903
2,6747
2,535
2,7477
2,5722
2,1265
2,7292
2,10139
2,4080
2,9891
2,6934
2,10219
2,4799
2,2663
2,6399
2,4262
2,2278
2,5073
2,6156
2,550
2,9717
2,1970
2,2129
2,3740
2,8436
2,6322
2,6582
2,11024
2,8016
2,8669
2,9100
2,6952
2,1808
2,4093
2,6222
2,749
2,6603
2,5487
2,2469
2,8826
2,3084
2,5880
2,3397
2,2150
2,3582
2,5664
2,3108
2,6232
2,52
2,5269
2,940
2,3760
2,6297
2,1493
2,57
2,4999
2,6327
2,3070
2,1134
2,6974
2,1684
2,4128
2,7778
2,733
2,9214
2,9887
2,9948
2,6978
2,6980
2,8382
2,5696
2,6451
2,4855
2,7312
2,7681
2,5706
2,11060
2,3403
2,4862
2,6276
2,7326
2,1522
2,3270
2,11411
2,8687
2,79
2,6641
2,6007
2,8787
2,621
2,5840
2,1700
2,1358
2,881
2,1536
2,7012
2,7933
2,1868
2,5733
2,7195
2,1175
2,9429
2,1710
2,6485
2,7204
2,2755
2,2212
2,2213
2,1011
2,1376
2,3645
2,330
2,6692
2,6115
2,4353
2,1381
2,10917
2,8142
2,1565
2,8340
2,7482
2,1024
2,10755
2,290
2,10847
2,10549
2,851
2,8909
2,7158
2,8910
2,2591
2,5051
2,854
2,9663
2,4023
2,1528
2,8166
2,2238
2,4352
2,6639
2,8169
2,8460
2,10442
2,1218
2,7050
2,7237
2,2941
2,1589
2,7990
2,9653
2,8926
2,4572
2,2075
2,10574
2,8342
2,10576
2,5807
2,2802
2,7685
2,7258
2,2620
2,10648
2,7955
2,11178
2,5809
2,501
2,3343
2,503
