id,name,new_id
116999698310182,Mike Rowe,8980
1173678312659310,Louis Ng Kok Kwang,2230
466981723395173,Pastor Everaldo,7510
251453648389404,"Ronen Manelis דובר צה""ל רונן מנליס",2708
1596076743971510,QPark,7349
127489950631258,凌星星,2839
127749457401399,Token Black,7684
164861976892531,JTodd Tucker,10428
209848971662,Darrell Hines,4378
375996469260771,Melita Tough,4406
1443601459220168,MISS MO,1330
490550407734241,Matt Guthmiller,3182
102129436523059,Josh Horton - Juggler,8321
31325960871,Richard Branson,5162
263455903739001,October Divine,9738
127518240617275,Chef Chloe Coscarelli,4538
154239524600334,Christophe Beaugrand,10996
124613937584099,Mike Swift,7822
221084571275038,Blowek,1368
499807236742105,Minnie  薛如涵,8192
258781457495075,Rosana Franco,4615
140281987842,"Debi Silber - Inspire, Empower, Transform.",1631
208454622535347,Pete Snodden,4967
216790695144623,Sirott and Murciano,9756
112114435501106,Hugh Hewitt,3917
112699635471819,Sonia Stringer - Savvy Network Marketing Women,1929
167221136628,Ken Paves,1155
165560210157548,Jason Carr,2783
138955399510002,Janet Snyder,4949
528256327214541,Taylor Jonathan,9134
122354587652,Autism Mothers,7835
135020493438,Aditi Raval,5151
149574365107072,Kevin O'Leary,7420
70257495196,Dr. Bill Winston,6795
142474049098533,Robert Reich,1711
123094714264,Bob Saget,6345
130340350492644,Henri Joyeux,11551
215118868531136,大久保麻梨子 Okubo Mariko,6356
279627148735604,Rocky Anderson,4642
178983212112543,"Anjhula Mya Singh Bais, PhD",2804
448701891868957,Anna Hiltrop,10904
336476536443830,Valentina Pelinel,1757
110048602418407,Heidi Balvanera,9778
372789139590377,Shep Rose,6823
293131117529418,白一翔 Sean Pai,838
222142117941866,Mirjana Kika Milosevic,1660
106949306015306,敖小犬小敖,8436
386292787984,The Three Stooges,3806
51047514612,Bianca Gonzalez,5829
406066252768457,Jason 唐志中,9044
557557990980404,超愛美小姐,11098
143635642320640,Sascha Lauterbach - Moderator,3711
505289486170876,徐柑仔,11072
541768195870979,Jean Enersen,1530
269750119779936,McClure Twins Family,7688
129412537207083,Apryl Beverly,6488
403076383081194,Ornella Bertorotta Portavoce M5S al Senato,1579
541506872654690,YunG Suave,5224
135971373090972,Steffen Henssler,767
1767149636891719,Edward Alden,5071
260322130794726,Louie Psihoyos,1895
116534143584,willwoosh,9538
251813101504778,Mia Diaz,813
126786205474,Chris Cosentino,7637
361520353961101,Harshaali Malhotra,9020
133029186724500,Adriana Abenia,8836
265410906998950,Daniel Bautista,6448
184650778223882,Johnathan Lee Iverson,3279
