node_1,node_2
0,7061
0,5911
0,13203
0,13704
0,11031
0,2095
0,10340
0,2801
0,970
0,5983
0,4753
0,2561
0,593
0,9074
0,10586
0,9640
0,4498
0,2218
0,5034
0,5036
0,12430
0,5474
0,4273
0,6409
0,5784
0,1057
0,7280
0,12126
0,9910
0,13103
0,3879
1,4381
2,4683
2,4387
2,9045
2,689
2,1929
2,7804
2,12100
2,155
2,7663
2,10418
2,1942
2,3189
2,3785
2,11982
2,13502
2,914
2,5879
2,8741
2,11935
2,10882
2,11606
2,11445
2,11502
2,9779
2,8922
2,7265
2,12381
2,13290
2,9100
2,10991
2,6941
2,4488
2,9963
2,3549
2,11253
2,4527
2,5530
2,4847
2,3491
3,5241
3,13158
3,435
3,7066
3,5111
3,13099
3,5473
3,6221
3,10484
3,2208
3,8684
3,6761
3,11213
3,4920
3,12215
3,2730
3,13164
3,6447
3,7971
3,325
3,7801
3,3647
3,6565
3,13233
3,6535
3,3060
3,6518
3,9107
3,12594
3,6893
6911,2175
6911,5197
6911,9069
6911,9591
6911,1999
6911,10503
6911,3210
6911,4727
6911,6006
6911,4039
6911,11943
6911,8048
6911,13115
6911,13834
4,3911
5,7872
5,13548
5,10880
6,1553
6,3711
7,5744
8,13141
8,12307
8,2351
8,2964
8,1386
8,5807
8,8563
8,1132
8,12519
8,4818
8,13280
8,409
8,7731
8,3147
8,4081
8,8755
8,2014
8,4615
8,2423
8,134
8,247
8,3108
8,4981
8,10840
8,7155
8,11733
8,8984
8,13243
8,8828
8,9798
8,11960
8,11185
8,6641
9,13080
10,5531
11,7528
11,1479
11,5456
12,9914
12,7994
12,324
12,12105
12,3718
12,12080
12,11815
12,10145
12,12569
12,6961
12,2307
12,1542
12,6655
12,3890
12,8324
12,8325
12,8685
12,13006
12,11771
12,1768
12,2475
12,12953
12,4973
12,2520
12,8175
12,7263
12,2061
12,3042
12,11565
12,10127
12,13662
12,2112
12,5387
12,8028
12,1794
12,4481
13,11881
13,5328
13,12217
13,3139
13,7216
13,11580
13,4578
13,8045
13,12134
15,721
15,5165
15,13597
15,6077
15,8011
15,11448
16,4588
16,9567
16,12277
16,11303
16,3703
17,4673
17,2233
17,1432
17,13169
17,12982
17,7097
17,6086
19,7780
19,23
19,300
19,2827
19,3819
19,5401
21,6720
21,9239
21,3743
21,3212
21,2461
21,2041
22,10050
23,5474
23,10586
23,5393
23,13625
23,300
23,3879
24,8423
24,5911
24,970
24,5363
24,2257
24,2807
24,12105
24,11243
24,3654
24,7305
24,2051
24,11346
24,7280
24,13534
24,12126
24,1917
24,5999
25,10134
25,9920
25,7901
25,5789
26,1694
26,11397
26,4448
26,12578
27,1289
27,997
27,12822
27,3341
27,9010
27,1757
11494,5474
29,9479
29,176
29,4508
29,10292
29,4027
29,2262
29,2995
29,12262
