id,name,new_id
1639020429716914,"Quinn ""Moose"" Ojinnaka",1947
156191961253979,Villanova Softball,874
165554913638633,Miriam Ziegler & Severin Kiefer,13075
500839003318392,Eliaquim Mangala Officiel,11252
313989122012742,Alfonso Celis Jr.,5713
193494430805741,Jt Holmes,11952
512978722065583,Martine Grael e Kahena Kunze,1345
151950174865261,"Eduard ""The Landslide"" Folayang",7601
183998631659874,Sam Hill,7807
689847337804855,Guessouma Fofana,10919
1581910342029605,Bobby Wagner,8618
253766991451151,Ross Peraudo Fans Club,2143
237780649657353,Noor Daoud: Born To Race,2566
264627419175,Wisconsin Timber Rattlers,13001
139120022840441,David Schröder - Frank Henze,3099
149054642563,Foot Locker Cross Country Championships,9568
130565870328753,Michigan State Women's Basketball,8465
201420610774,EnduroPro Digital Magazine,3046
1510421675925124,Philipp Ziereis,10139
947207771970181,Buffalo Beauts,9683
339499106613,Jamie Dwyer,6919
568056629947376,Larry Sanders,11625
59994486427,姚明 Yao Ming,5748
298784186845853,Julian Schieber,7954
303129169702184,Cork City Women's FC,4755
422591397801149,David Reynolds,4711
622704877920707,Vincent Janssen,10482
154832974542718,Nicole Parks Athlete,12922
432430023567927,Guy Barnea,11439
883229261754362,Rugby League World Cup,3378
130686110285580,Mississippi State Men's Basketball,6697
19651768411,Austin Peay Governors,9877
482556445104958,NBA from B/R,2880
314102568643603,Miguel Veloso,11639
374834527018,OneAsia,13329
231969676866243,Polar,12556
421330481242449,Meghan Musnicki,13519
673730132637127,Cedric Hountondji,7075
161029820639311,Arthur Wottschel,11226
355022177915097,Anton Antipov,10857
125922312051,Hamid Hassan,13801
246907828662725,Terezinha shahedermina المعتمد ميديا,12266
486135705470,Rajiv Ouseph,5003
116308058380999,Carlos Cuéllar,2832
358235541801,Mirza Teletovic,1822
1566015680331387,Sportpesa News,6626
413871998817763,Ulisses Garcia,9167
659760690803759,Frank Lampard,5479
101693379928010,ASV Hamm-Westfalen,10273
259125604215679,ADIB Football,11585
118927944902505,Sarah Burgess,11125
516083341752617,USA Luge,13102
1117110348302340,Mitchell Starc,7652
207804322596204,India Paulino,2223
12421104164,Wycombe Wanderers FC,216
316402196880,Nikola Girke - Olympic Windsurfer,10459
95167587152,Aleksandar Ignjovski,3746
246075005477935,FC Nantes,3845
21222300614,Melbourne Storm,2932
190177718980,Jason Britton,5329
124362864312800,Rick Story,1202
113384335344100,Glover Teixeira,190
170561733014893,Toby Price Racing,5624
308291269291523,Washington State Cougar Tennis,11852
1382936371927133,LYNX FC,2581
735033883241691,Federico Bonazzoli,4718
117342755521972,RP-SG Mavericks,600
130509676974962,Rob Kearney - Athlete,12585
413843732023462,Soccergrlprobs,7718
951440988240655,Dre Kirkpatrick,13320
58686226049,F1 H2O World Championship,6630
188144367923089,Simon Geschke,12019
340058439402315,Achilles'29,7141
149409325116719,Colorado Buffaloes Women's Tennis,11767
1664799083834054,Marvin Schulz,4506
546489085504422,Barbara Nwaba,4598
506440686369565,Fodé Ballo-Touré,13325
500663310070011,Jayson Terdiman,5145
310323759072892,Jacoby Ford,7499
190495911049933,Alexis Masbou,10372
245235802257216,Angelle Sampey,5827
120090728070755,UConn Huskies,13691
1519974671568028,Ashley Kidd,3709
126783017467233,Ish Sodhi,6513
134473006626000,Olimpia Milano,5548
387989888066489,Robbie Lawler,10707
181102265249049,Dylan Gandy,7923
137443826283449,Australian Dolphins Swim Team,5427
73177632894,Red Bull Air Force,1744
615305788495786,Max Heinzer,2510
201955789940351,Tor Lundström,4085
16348873695,Queensland Maroons,413
149459461926920,Ricardo Lucarelli,12077
1709852269231428,Hector Moreno,6500
876213185759389,Waisake Naholo,7715
1793508227556781,Katie Taylor,10521
139754726411384,Rubens Barrichello,8140
158524334305274,Pierre Vaultier,12070
762938437055263,AEK Basketball Club,5360
297317876985767,Leandro Vissotto,12030
884055698310899,Paola Longoria,729
240313026045938,Álex Rins,11178
372170269564687,Reggie Evans,3295
299755013552798,Nene Hilario,6217
43767669382,NC State Athletics,3667
109129549191970,Benjamin Compaoré,2867
18725919617,USA Track & Field,9803
115332218480574,Club Alianza Lima,12928
107211412977,Ohio State University Men's Soccer,391
591219941063720,Alexandru Gatcan,11305
1490225857927999,Andrew Campbell,2881
114173819910,The SIAC,6369
142574579132895,William Accambray,4418
214928168520161,Kyle Noke,6862
158049480931266,Sean Pierson,12956
72631215658,Buffalo Bills,10990
1394374637463040,Renaud Emond,4032
158050200888907,Kalamazoo Wings Hockey Club,4063
225533390836031,Temple University Men's Basketball,11132
50754291542,Danny Green,761
556465284430004,Lucas Cavalcante,5989
146309298756,Husker Track and Field,6180
1437459133165972,Giovanni Augusto,12244
170871813090182,Dzenis Burnic,540
58436343214,"Wojtek ""Gniazdo"" Pawlusiak",210
116660188432603,Tatyana McFadden,7744
1550315451853556,Ernesto Gainza,170
34690399981,Creighton Women's Rowing,13747
129771813778668,張正偉(張花花),5560
344128252278047,Sachin Tendulkar,12643
240163312792389,Hector Bellerin,12427
565423243509839,Julian carr,6829
151876808186672,FC Bayern Frauen,2872
171144562907744,FC Barcelona Basket,2804
17565190980,HJK Helsinki,1204
236921556511995,Damien Hobgood,4732
339503819478565,LeRoy Butler,2037
270160276341795,John Orozco,7242
137602601628,Memphis Redbirds,1991
203057343172544,Anna Ringsred,1660
882668951818641,Anthony Watson,11355
223137361061650,CSA Steaua București,11090
1507370699535013,Burlingame Dragons FC,5313
257641544265120,Florida State Seminoles Women's Golf,4811
272780882735961,Wyoming Cowboy Wrestling,12436
666488343402790,Maurice Harkless,2658
226140400835474,Team IAM Cycling,3969
300661620032023,Teresa Perales,7017
173648162686694,Brenda Villa,725
1595684427349234,TimoX,6470
130752516949006,University of Virginia Swimming & Diving,436
252012226493,Binghamton Devils,11159
365811216764919,Simon The ONE Marcus,8501
202137330942,Tomáš Verner,10848
56421193323,Matti Lehikoinen,2386
159691050732,Kirk Cousins,12716
471649296307492,Emiliano Martínez,9070
1408845185999700,Mario Vrancic,10664
113912991981819,Open de Nice Côte d'Azur,3490
102199133201970,Guerlain Chicherit,10993
1461335337479008,Kheira Hamraoui,4567
213820228637516,"Aljamain ""Funk Master"" Sterling",2060
965906183516695,Dejounte Murray,12300
135137986557836,Donna Vekic,13440
137700319627284,Yvan Muller,852
116589215536,Club Med,6712
125272120841355,Volleyball Bundesliga,13338
172063406488660,James Willett Olympic Shooter,11411
336918266425015,Tom Watson,4919
1482727008669802,Gonzalo Pérez de Vargas Moreno,1733
592355737475556,Noguchi Akiyo,2750
160190804031969,Utah State Football,13178
260279940750158,Blake Leeper,2890
119580354776112,Water Polo Australia,1305
1449616581968200,Godwin Franco,6926
169241833087908,Chris Ingram Rally,3783
489393621077257,Voit,1379
110988678988535,Danville Braves,316
116130785125397,CRUZ AZUL FUTBOL CLUB A.C.,9465
1611194842433151,Quentin Fillon Maillet,7500
413973818742596,Isaiah Austin,2468
187201794686,PAOK FC / ΠΑΕ ΠΑΟΚ,5292
167853246595206,Stefanie Graf,6846
260216390685379,Bolton Wanderers Official,12139
1636086109986551,Mergim Berisha,10188
235899729917859,Brianna Decker,8293
182412385225376,Amelie Kober,1130
293671060753648,Maximilian Beister,8195
122023347936028,Australian Weightlifting Federation,9763
116002115131993,Jen Kessy,3184
171861312982547,Voetbal Vlaanderen,6118
108987183569,Adelaide 36ers,12269
109207355769669,Connecticut Tigers,2104
207693269428373,Marco Grael e Gabriel Borges,11263
1645883192363255,Conor Murray,7759
1433515033546687,Ty Magner,10135
141825602607161,Leilani Akiyama - USA Judo Athlete,9432
730818140334382,Jusuf Nurkić-BosnianBeast23,11331
258299571032918,UE Llagostera,8870
124169878797,Wyoming Cowgirl Volleyball,13544
492760984112498,Sanna Lüdi,8253
583545965057616,"Chris ""The Nightmare"" Arreola",617
340011589086,Charles Hamelin,3159
481036411968976,Shea McAleese,5340
1407355502829313,MLB Dominicana,3291
145468448884736,Texas A&M Football,7650
203015769829229,Pajtim Kasami,4994
376571892353429,Eu Atleta,7831
246648210396,Coco Ho,412
584429541672763,Maciej Makuszewski,7580
11122599598,Kenan Sofuoğlu,11046
215615963859,Cheltenham Town FC,298
284024525043925,Sven-Sören Christophersen,6007
368814476553189,Trophée des Champions,11621
369816436901,Internationaux de Tennis de Strasbourg,60
349729944823,Joseph Benavidez,12620
218273401632378,Luan Oliveira,12800
141949559213686,Richard Sherman,1521
297635740354672,Zbigniew Brodka,886
211913938907017,Anna Frost,5008
622107524531447,Maxwell Scherrer,520
525284340816373,"Jesse ""The Bodysnatcher"" Ronson",9616
300305904297,Brasil Rugby,12362
628681013813003,Floria Gueï,10194
128509473865648,s.Oliver Würzburg,6760
296814780336744,부산아이파크 - Busan IPARK FC,7930
216043845153,Michigan State Spartans,12760
821826374561910,Caroline Seger,12125
130065777147611,Koninklijke Nederlandsche Roeibond,6676
365556230162249,Mehmet Ekici,758
792504127533645,VfL Wolfsburg,5273
407798635950989,Josef Ferstl,12456
98595086437,Dan Henderson,3429
56446158654,Shillong Lajong Football Club (SLFC),755
188467061184497,阿美戰士~楊敬敏,51
207985615936716,Club Natació Sabadell,3041
681003265288117,Torann Maizeroi Officiel,11153
1680914795461026,Matheus Sales,13151
82950154748,Adam Carroll,11413
1484024841861763,The Tongan Bear,13251
565232680177575,Miguel Lozano,1654
1550317845215340,Mohammed Amir,13027
148158605211558,Auburn Soccer,5875
288836387861817,Michael Tayler,12657
613991115334753,Alfredo Talavera Díaz,3865
281386875268150,Daniel Sandoval,4653
118389138212055,Cam (sincs) Sinclair,3066
154483047923624,Chris Haffey,13822
230725747054530,Demaryius Thomas,9117
113249766046,Marquette Women's Basketball,6764
292819610918404,1. FSV Mainz 05,13675
145279115501801,Igor Silva,3483
130906130056,Washington Husky Baseball,685
136807293131529,Branch Warren,2856
478389132532052,Alison Lopes,2540
113524069638,Oregon State Rowing,13658
22344895408,Globo Esporte,1262
51931216313,Houston Texans,9660
246452342086369,Nick Goepper,9730
136064093196072,University of Louisville Football,1597
174667687063,Jelena Jankovic,10802
271332862962610,Klaas Jan Huntelaar,4604
194168219736,"David ""Caveman"" Rickels",12297
1519054955025074,T.J. Ward,2000
116220661795048,UCLA Women's Water Polo,5625
119808298397,Lord's Cricket Ground,1438
1520557688267991,Andre Onana,3907
1193976110629417,Casey Tucker,7025
149266015118996,Brent Bookwalter,11034
961674350523689,Denis 'denis' Howell,6688
102674514441,York City FC,7011
134183163285171,Antigua and Barbuda Olympic Association,8372
384049945004237,Maggie Voisin,11450
237927042913045,SMC | Stade Malherbe Caen,11356
247497738612626,Union Bordeaux Bègles,12020
1045960832163638,Junior Sambia,12669
165800516858008,Damien Gaudin,5109
487850647919537,Tobias Becs,4045
213369688775348,A.C. Perugia,9708
100003843414,Karlsruher SC,1411
100364257431,Minnesota Soccer,905
129133953803517,Jessica Jag Aguilar,9011
1462345490666865,Paige,2290
1454092664893976,Nazr Mohammed,4694
312288255537,Lake County Captains,3196
151789558165530,Mike Martin,3449
161059404044433,Lucien Koch,9472
684998771542768,Georcy-Stéphanie Thiffeault Picard,1164
307773905940081,Marco Materazzi,4889
120151651377001,University of Delaware Fightin' Blue Hens,10230
637379632944554,Mitch Langerak,9136
323839409150,Calisthenics Kingz,6366
502108799925543,Cássio Rippel,13556
163078210400785,Lance Russell,5246
172055179548469,Diego Ribas,9321
134266563293696,Hannah Kearney,12289
153224528085175,Bryant Athletics,455
285873336856,Martina Hingis,12301
100861753324093,Taylor Martin Racing,4786
547524541942343,Tristan Knoertzer,1091
1707296916170686,Jossimar Calvo Moreno,11160
266708340189891,Francesco Molinari,4505
234397816677571,Ohio Football,4291
235770853124927,SMU Football,11557
140686986001561,"Tony ""El Cucuy"" Ferguson",6430
20714737025,David Villa Sánchez,8607
131003743594609,Kara Lawson,11246
392286950954949,Ali Williams,1540
312145942292378,Marie Amélie Le Fur,4194
314360877312,Deutscher Tennis Bund,8602
1754810604771492,Donald Stewart,12267
735425393142399,Danilo Barthel,4483
176511475887874,Sana Mir,2766
271427662962,FAW Trust,12553
156648171033307,Lauren Abraham,8816
502008973148059,Ari Skulason,6753
17070151650,Colorado Springs Sky Sox Baseball,9399
310423122416970,Aniol Serrasolses,2271
