id,name,new_id
183215455178728,Orange is the New Black,1852
282808121926963,狮城有约 Hello Singapore,592
179653538737148,DC Cupcakes,1370
162816367111296,Gladiatorerna,1263
134115896703387,Globo Rural,3042
154734594579016,Million Dollar Listing,3131
54035698285,Taking the Stage,2144
229468073750527,WDRB in the Morning,3350
174310142817,Australian Story,2280
640672685943394,Medical Center,1190
114060455288958,L'Amour est aveugle,49
329277120482732,Smash France,1581
160506187403861,Fiston,2134
234148783415826,Black Box,236
234127340023,ENGRENAGES,2086
138645446156634,World This Week 世界一周,156
127874770617229,Eat St.,392
241875302506156,Style ستايل,3726
667207070090485,Twinning,563
510328212432846,In Gefahr,884
6068232341,The Guild,59
323665000888,Frontal21,3056
635858766446398,Breadwinners,3787
604533549587316,House of Cards France,3295
1213985671948394,L'imposteur,961
1454005388163796,Idiotest,3210
259605474215382,Mästarnas mästare SVT,666
135343189851258,Les Feux de l'Amour,3665
174635856279789,Sacred Steel Bikes,2956
1740880949459407,Lee and Keith,3067
1552469935074312,Roots Series,1377
591893364291757,The Night Of,1636
286094561830947,Good Girls,929
17174318188,Heroes,1427
116428248441032,Bem Estar,532
53818518622,KING 5 Evening,1166
369070133169245,Driven MBC,1418
130720047004032,GCB,3029
1990209077869977,Obviously Harith Iskander,3582
523140377699682,Menschen hautnah,605
152556611425098,ITV Anglia,2267
236983156356546,Call of The Wildman - Turtleman,2572
118632421482035,Unter Uns,3663
186702484702033,Monitor,363
828520980548988,Life On Marbs,1559
310718132392309,Brooklyn Nine-Nine,2036
115547375126318,"ROMANIA, TE IUBESC!",814
554754457928212,Clangers,237
1283050721710011,Class,1833
1479187075631525,Broadchurch,1106
183248435043421,Programa Que Tiempo tan Feliz,3423
826556904070611,Complications,3611
330098330447155,A Otro Nivel,1528
123691499162,Boer zkt Vrouw,3717
123008834413215,La Boîte à Questions,290
327668667429741,Judge Geordie,2287
337316856340253,Nos Chers Voisins,3769
1683121888667072,酸甜之味,653
475265509175421,House Rules,1921
