drug_1,drug_2,label
DB00424,DB08897,1
DB00670,DB06148,1
DB00391,DB00517,1
DB01090,DB09076,1
DB00391,DB00462,1
DB00810,DB01409,1
DB00332,DB00986,1
DB00434,DB00805,1
DB00391,DB00670,1
DB00496,DB01409,1
DB01409,DB08897,1
DB06702,DB09076,1
DB00967,DB01409,1
DB00366,DB01037,1
DB00670,DB00986,1
DB00517,DB06148,1
DB00986,DB01090,1
DB00387,DB08897,1
DB00387,DB06148,1
DB01036,DB01409,1
DB00657,DB06148,1
DB01090,DB08897,1
DB01591,DB06148,1
DB00572,DB09076,1
DB00940,DB08897,1
DB09076,DB09300,1
DB00434,DB01247,1
DB00670,DB09076,1
DB00366,DB01247,1
DB01409,DB01591,1
DB00747,DB00986,1
DB00517,DB00986,1
DB00182,DB00366,1
DB00391,DB09076,1
DB00391,DB01591,1
DB00780,DB01071,1
DB00986,DB01199,1
DB00434,DB01037,1
DB00986,DB01591,1
DB00332,DB08897,1
DB01090,DB06148,1
DB08897,DB09076,1
DB00434,DB01171,1
DB00391,DB01199,1
DB00387,DB09076,1
DB00366,DB01367,1
DB00332,DB09076,1
DB00391,DB00908,1
DB00483,DB09076,1
DB00517,DB08897,1
DB00908,DB00986,1
DB06148,DB08897,1
DB00462,DB01409,1
DB00657,DB01409,1
DB00424,DB00986,1
DB01409,DB06702,1
DB00376,DB01409,1
DB00424,DB06148,1
DB00340,DB06148,1
DB00572,DB00986,1
DB00986,DB01062,1
DB00986,DB01409,1
DB01036,DB08897,1
DB00366,DB09241,1
DB01036,DB09076,1
DB00805,DB01071,1
DB06702,DB08897,1
DB00332,DB00391,1
DB00376,DB09076,1
DB00908,DB01409,1
DB01071,DB01171,1
DB00915,DB00986,1
DB00387,DB01409,1
DB00391,DB00967,1
DB01338,DB08897,1
DB00657,DB09076,1
DB00376,DB06148,1
DB00392,DB01409,1
DB00986,DB01338,1
DB00572,DB01409,1
DB00809,DB09076,1
DB01090,DB01409,1
DB00434,DB00752,1
DB00908,DB09076,1
DB01409,DB06148,1
DB08897,DB09300,1
DB00391,DB00424,1
DB00986,DB08897,1
DB01338,DB06148,1
DB00391,DB01338,1
DB00332,DB01409,1
DB00747,DB08897,1
DB00182,DB00434,1
DB00986,DB01173,1
DB00366,DB00752,1
DB01173,DB06148,1
DB00670,DB01409,1
DB00967,DB00986,1
DB00332,DB06148,1
DB00434,DB01367,1
DB00986,DB06148,1
DB00391,DB01036,1
DB00391,DB01337,1
DB00391,DB00940,1
DB00424,DB09076,1
DB00391,DB00392,1
DB00366,DB01171,1
DB00462,DB00986,1
DB01337,DB06148,1
DB01199,DB09076,1
DB00340,DB08897,1
DB01199,DB08897,1
DB00376,DB00986,1
DB01409,DB09076,1
DB00670,DB08897,1
DB00391,DB00657,1
DB00462,DB08897,1
DB00979,DB09076,1
DB00809,DB06148,1
DB00391,DB00810,1
DB00391,DB00496,1
DB00391,DB00809,1
DB00657,DB00986,1
DB01071,DB01626,1
DB01036,DB06148,1
DB00245,DB06148,1
DB00340,DB09076,1
DB01173,DB01409,1
DB00986,DB06702,1
DB06148,DB09300,1
DB01037,DB01071,1
DB00908,DB08897,1
DB00483,DB06148,1
DB00979,DB00986,1
DB00434,DB09241,1
DB01591,DB08897,1
DB00387,DB00986,1
DB00376,DB08897,1
DB00804,DB06148,1
DB00657,DB08897,1
DB01199,DB01409,1
DB00391,DB01409,1
DB00245,DB00391,1
DB00809,DB08897,1
DB01071,DB01247,1
DB01337,DB09076,1
DB00391,DB01090,1
DB00804,DB09076,1
DB00391,DB00483,1
DB01338,DB09076,1
DB00967,DB09076,1
DB06148,DB09076,1
DB00496,DB06148,1
DB00366,DB01626,1
DB01071,DB01367,1
DB00392,DB06148,1
DB00940,DB00986,1
DB00979,DB08897,1
DB00182,DB01071,1
DB01071,DB09241,1
DB01062,DB01409,1
DB00340,DB00391,1
DB00810,DB06148,1
DB00391,DB00804,1
DB00424,DB01409,1
DB00747,DB06148,1
DB00810,DB00986,1
DB00979,DB06148,1
DB00810,DB08897,1
DB00392,DB00986,1
DB01409,DB09300,1
DB00434,DB00780,1
DB00391,DB00747,1
DB00986,DB01337,1
DB00391,DB00572,1
DB00366,DB00805,1
DB00810,DB09076,1
DB00752,DB01071,1
DB00804,DB08897,1
DB00434,DB01626,1
DB00940,DB06148,1
DB00366,DB00780,1
DB00245,DB09076,1
DB00391,DB00986,1
DB01199,DB06148,1
DB00483,DB08897,1
DB00391,DB09300,1
DB01173,DB09076,1
DB00572,DB06148,1
DB00387,DB00391,1
DB00747,DB01409,1
DB00376,DB00391,1
DB00245,DB08897,1
DB00496,DB00986,1
DB01173,DB08897,1
DB00908,DB06148,1
DB00809,DB00986,1
DB00391,DB08897,1
DB00804,DB00986,1
DB00462,DB06148,1
DB00340,DB01409,1
DB00391,DB00979,1
DB01062,DB06148,1
DB00517,DB09076,1
DB00967,DB08897,1
DB01062,DB08897,1
DB00940,DB01409,1
DB00245,DB01409,1
DB00986,DB09076,1
DB00392,DB09076,1
DB00496,DB09076,1
DB00245,DB00986,1
DB00986,DB01036,1
DB00804,DB01409,1
DB01591,DB09076,1
DB00979,DB01409,1
DB00940,DB09076,1
DB00517,DB01409,1
DB01337,DB08897,1
DB00809,DB01409,1
DB00747,DB09076,1
DB00483,DB01409,1
DB01062,DB09076,1
DB00496,DB08897,1
DB00391,DB06702,1
DB00483,DB00986,1
DB00986,DB09300,1
DB00392,DB08897,1
DB00462,DB09076,1
DB00967,DB06148,1
DB00340,DB00986,1
DB01338,DB01409,1
DB00391,DB01062,1
