from,to
0,1819
0,2840
1,1565
1,1309
1,1397
1,2677
1,3497
1,357
1,1492
1,4125
1,1351
2,1437
2,1728
2,214
2,485
2,2753
2,676
2,3719
2,1351
3,3830
3,2504
3,3387
3,4528
3,246
3,1266
3,982
3,596
3,291
3,1819
3,2480
3,1676
3,1450
3,79
3,2112
3,222
3,2558
3,574
3,1376
3,2306
3,4642
3,1988
3,2922
3,896
4,2213
4,7
4,1169
4,963
4,2647
4,2182
4,1011
4,1264
4,3984
4,596
4,483
4,4397
4,1480
4,3767
4,1447
4,2771
4,3737
4,1451
4,1827
4,4423
4,1121
4,2414
4,4217
4,1067
4,3675
4,1513
4,4121
4,1083
4,2853
4,793
4,549
4,3159
5,3655
5,3022
5,570
5,2348
5,2273
5,4001
5,4228
5,3762
5,2483
5,111
5,3915
5,140
5,3128
5,1832
5,4569
5,1604
5,531
6,1565
6,1047
6,2280
8,3235
8,4162
8,2864
8,4245
8,2891
8,755
10,2574
10,1819
10,1857
10,781
10,1873
10,1084
11,1565
11,596
11,1819
11,4142
11,406
11,2847
12,43
12,3436
12,2578
12,4031
12,1832
12,2304
12,223
12,2306
12,3162
12,2015
12,2318
12,617
12,2887
12,2468
12,1970
12,194
12,3022
12,1930
12,3072
12,627
12,3758
12,904
12,2283
12,636
12,1444
12,2905
12,3487
12,1750
12,784
12,340
12,2388
12,1455
12,2285
12,916
12,1727
12,4078
12,4331
12,656
12,2922
12,87
12,4491
12,362
12,3271
12,69
12,670
12,2563
12,4507
12,1784
12,3228
12,4105
12,4107
12,79
12,913
12,1791
12,1217
12,2953
12,3021
12,1802
12,1501
12,1504
12,2109
12,3827
12,1857
12,4100
12,4443
12,3830
12,2686
12,1234
12,1397
12,111
12,2690
12,133
12,3259
12,1822
12,107
12,2408
12,109
12,1523
12,408
12,3521
12,2136
12,402
12,3855
12,1923
12,2850
12,4481
12,125
12,1254
12,3452
12,2432
12,1264
12,434
12,3100
12,3592
12,4397
12,4289
12,1014
12,3793
12,1026
12,1571
12,4190
12,1024
12,457
12,55
12,2742
12,2751
12,1585
12,165
12,768
12,770
12,1294
12,2032
12,1297
12,3178
12,4208
12,2475
12,2480
12,1306
12,1050
12,182
12,623
12,635
12,1902
12,1376
12,2366
12,499
12,3484
12,1565
12,2491
12,1912
12,1623
12,4298
12,105
12,4238
12,3655
12,1861
12,2506
12,203
12,4569
12,204
12,2218
12,2937
12,2221
12,1535
12,527
12,215
12,531
12,3078
12,1085
12,809
12,536
12,1940
12,541
12,3094
12,1383
12,231
12,341
12,1958
12,2257
12,2359
12,4258
12,1890
12,837
12,247
12,982
12,4473
12,1540
12,1114
12,2839
12,3122
12,570
12,4001
12,2278
12,3949
12,1544
12,3252
12,905
12,4596
12,2853
12,2046
12,1695
12,864
13,1441
13,2164
13,3811
13,2546
13,91
13,3055
13,4267
13,4179
13,2321
13,163
13,3635
13,3318
13,1048
13,4058
13,1007
13,2545
13,4377
14,148
14,2375
14,2359
14,2234
14,1826
14,2864
14,3830
14,1005
14,1351
14,982
14,2690
14,2140
14,2574
14,485
14,1114
14,1715
14,4155
14,3719
14,3565
4647,913
4647,1976
4647,2864
4647,705
4647,4208
4647,159
4647,1565
4647,2283
4647,1397
4647,743
4647,1802
4647,2268
4647,419
4647,4142
4647,2612
4647,3719
4647,109
4647,2816
4647,1523
15,2373
15,2613
16,4070
16,1152
17,3498
17,68
17,4027
17,2475
17,982
17,402
17,1114
17,1560
17,4142
17,2408
17,3672
17,109
17,182
17,2591
17,3880
17,2015
17,3521
17,3556
17,4300
17,1376
17,1784
17,2455
17,4331
17,4600
17,560
17,165
18,1515
18,1819
18,406
18,2804
18,1502
18,4151
18,1093
18,2899
18,3572
18,1251
18,1381
19,2213
19,661
19,1921
19,2701
19,1667
19,1391
19,2940
19,667
19,367
19,4365
19,3630
19,4121
19,1210
19,1960
19,4532
19,897
19,643
19,2830
19,3448
19,562
19,679
20,2999
20,3220
20,1440
20,2864
20,1200
20,1932
20,4415
20,1341
20,3448
20,3078
20,171
20,2112
20,750
20,4607
20,2379
20,1209
20,2955
20,1351
20,1938
20,161
20,1728
20,1030
20,1036
20,2891
20,1035
20,1960
20,2825
20,2968
20,3235
20,772
20,1826
20,3339
20,399
20,4326
20,2901
20,2548
20,2903
20,1129
20,2480
20,485
20,150
20,1715
20,2050
20,2894
20,3404
20,1749
20,2019
20,1737
20,1731
20,3343
20,1800
20,497
20,4151
20,1206
20,1310
20,3054
20,2989
20,855
20,1565
20,1462
20,562
20,4081
20,884
20,1692
20,3719
