from,to
0,6420
0,2941
0,3051
0,5511
0,1020
0,4726
0,5968
0,5543
0,4089
6251,180
6251,1712
6251,2287
6251,3552
6251,4395
6251,3920
6251,6148
6251,771
6251,5208
6251,790
6251,4069
6251,4522
6251,6203
6251,4496
6251,5968
6251,1082
6251,5175
3274,2173
3274,2560
3274,1465
3274,3623
3274,2831
3274,1115
3274,2944
3274,4716
3274,4463
3274,77
2,5079
2,2842
2,475
2,5911
2,6454
2,1041
2,2856
2,6040
2,4059
2,813
2,479
2,609
2,6528
2,2807
2,1721
2,1992
3,771
3,412
45,2367
45,996
45,2161
45,6148
45,5511
45,4421
45,4445
45,6101
45,2560
45,3356
45,3905
45,3138
45,5968
45,1020
45,2119
45,6442
45,327
45,3550
45,2650
45,3629
45,4239
45,3857
45,2907
45,5383
45,5571
45,1751
45,3754
45,6420
45,3087
45,4047
45,4717
5,3582
5,514
5,4660
5,183
5,6271
5827,2367
5827,3523
5827,257
5827,6310
5827,5794
5827,3476
5827,5710
5827,771
5827,471
5827,3312
5827,5069
5827,1133
5827,6090
5827,4811
5827,3776
5827,663
6,5511
6,1482
6,1284
6,5968
6,4451
7,2228
7,3350
7,6403
7,768
7,1025
7,4615
7,64
7,2119
7,1485
7,1240
7,3550
7,2374
8,4018
8,612
8,5908
8,2825
8,3051
8,1253
8,5207
8,5756
8,5530
8,1195
8,2012
8,3551
8,2238
8,1155
8,4918
8,1100
8,179
8,4214
8,4813
8,2257
9,3253
9,2568
9,766
9,3350
9,6403
9,4953
9,771
9,1573
9,1056
9,3995
9,3329
9,1276
9,5911
9,2119
9,877
9,1969
9,3952
9,5582
9,4663
9,479
9,5384
9,5130
9,287
9,5385
9,6084
9,3313
9,1127
9,6056
9,6466
9,4329
9,1320
9,2108
9,6281
10,2367
10,3510
10,2161
10,6148
10,5511
10,771
10,142
10,1890
10,1751
10,398
10,5516
10,2560
10,5968
10,4453
10,4451
10,3857
10,5554
10,2650
10,5094
10,938
10,2799
10,2459
10,361
10,1284
10,3959
10,2712
10,5543
10,6420
10,188
10,3046
10,1808
10,4717
10,3459
98,1616
98,4719
98,577
98,586
98,1875
98,4443
98,998
98,1917
98,399
98,2448
98,4395
98,5578
98,6165
98,4724
98,5175
98,6108
98,1082
98,3472
98,2257
98,3388
98,6148
98,3984
98,1726
98,5388
98,3575
98,1285
98,1015
98,5792
98,2661
98,3096
98,210
98,3780
98,1939
98,5188
98,3582
98,612
98,1440
98,6121
98,421
98,4840
98,2897
98,3904
98,2061
98,219
98,4960
98,6126
98,5266
98,1548
98,5679
98,1147
98,3714
98,5310
98,5708
98,4004
98,1150
98,4565
98,4211
98,5096
98,4047
98,4296
98,3861
98,165
98,4110
98,1261
98,2496
98,3390
98,5320
98,539
98,940
98,4998
98,1121
98,3920
98,3172
98,516
98,4117
98,142
98,730
98,2614
98,2161
98,4496
98,1020
98,931
