from,to
0,646
0,2510
0,2425
0,2596
0,85
0,1725
0,208
0,1302
0,3534
0,57
0,3948
0,297
0,1800
0,2767
0,251
0,907
0,598
0,1786
0,1860
0,3294
1,3633
1,1800
1,2535
1,6
1,1725
1,1866
1,1276
1,2589
1,4082
1,571
2,646
2,3480
2,1165
2,648
2,1560
2,367
2,2879
2,1800
2,344
2,1477
2,2567
2,2832
2,2777
2,2578
2,568
2,208
2,3534
2,3665
2,1348
2,1276
2,3348
2,3
2,297
2,3754
3600,231
3600,3151
3600,4263
3600,1683
3600,3961
3600,3981
3600,2312
3600,2276
3600,3192
3600,1870
3600,1628
3600,1814
3600,895
3600,2289
3600,1787
3600,4313
4,1831
4,3339
4,1403
4,4302
4,1122
4,2116
4,1955
4,117
4,918
4,475
5,646
6,946
6,2001
6,2822
6,2563
6,3657
6,537
6,3100
6,3743
6,2826
6,1612
6,3112
6,2965
6,3364
6,2315
6,1093
6,146
6,956
6,3108
6,653
6,1755
6,1506
6,701
6,3983
6,640
6,2201
6,1159
6,2589
6,188
6,2610
6,2768
6,2464
6,450
6,316
6,977
6,455
6,1682
6,3684
6,178
6,2472
6,1830
6,3849
6,2337
6,2070
6,261
6,589
6,3270
6,1783
6,3410
6,3004
6,36
6,3141
6,730
6,1404
6,1405
6,470
6,2617
6,3007
6,2092
6,1143
6,2490
6,4208
6,2801
6,1958
6,1416
6,2233
6,3661
6,129
6,3158
6,2364
6,1973
6,1961
6,3720
6,1676
6,2241
6,2243
6,2896
6,2504
6,1520
6,217
6,218
6,1022
6,1444
6,1024
6,3198
6,1295
6,1072
6,2646
6,2903
6,83
6,84
6,499
6,1032
6,4283
6,3744
6,4187
6,1322
6,2131
6,4120
6,3749
6,1181
6,373
6,1824
6,2746
6,619
6,1581
6,3055
6,3887
6,1190
6,1053
6,4209
6,3209
6,3326
6,2665
6,110
6,1197
6,1330
6,4155
6,2512
6,1807
6,4224
6,1249
6,3841
6,4033
6,1864
6,1070
6,3834
6,4066
6,1199
6,223
6,3644
6,2846
6,2429
6,3349
6,1731
6,2170
6,2026
6,678
7,1561
7,2671
8,3910
8,912
8,3184
8,1559
8,1276
8,1309
8,550
8,1800
8,1034
8,2964
8,1487
8,2243
8,459
9,1943
9,1800
9,2510
9,3369
9,1300
9,3104
9,3156
9,216
9,3948
9,1310
10,3508
10,480
10,1581
10,1162
10,2879
10,1276
10,4172
10,4317
10,2315
10,912
10,895
10,2317
10,3524
10,1901
10,3041
10,1300
10,1374
10,1507
10,22
10,2912
10,88
10,547
10,4339
10,2542
10,443
10,91
10,459
10,4329
10,2983
10,1456
10,2626
10,1709
10,3545
10,3316
10,3549
10,798
10,181
10,1598
10,3102
10,3625
10,3989
10,918
10,1786
10,3561
10,3222
10,4121
10,3365
10,3928
10,2614
10,1800
10,4302
10,3861
10,2964
10,1545
10,2092
10,3420
10,3871
10,3645
10,1149
10,3422
3551,1475
3551,964
3551,2510
3551,106
3551,848
3551,1340
3551,1381
3551,3205
3551,208
3551,1302
3551,1237
11,646
11,3
11,2176
11,319
11,2767
11,2273
11,1562
11,396
11,2963
11,1276
11,344
11,1335
11,1860
11,3369
11,598
11,2777
11,2510
11,3183
11,838
11,3484
11,2614
11,568
11,208
11,2457
11,3205
11,2425
11,1800
11,3237
11,1180
11,3348
11,203
11,342
11,3119
11,3482
11,3781
12,2457
12,370
12,598
12,1749
12,1758
12,2824
13,2979
13,2808
13,2483
13,1366
13,1749
13,1758
13,3981
13,1897
13,2008
2045,3243
2045,1006
2045,912
2045,1451
2045,568
2045,3080
2045,2794
2045,2243
2045,1175
2045,1916
2045,1180
2045,3183
2045,1244
2045,4121
2045,3119
2045,1860
2045,528
2971,789
2971,912
2971,3909
2971,1725
2971,1798
2971,3227
2971,1276
2971,1803
2971,3711
2971,548
2971,2231
2971,2407
2971,966
15,3205
15,598
16,2190
16,3228
16,912
16,2429
17,3781
17,342
17,1916
17,3972
17,834
18,2458
18,3446
18,2639
18,429
18,2768
18,1808
18,492
20,646
20,97
20,582
20,2425
20,2649
20,319
20,1777
20,1463
20,384
20,796
20,252
20,4073
20,830
20,3579
20,895
20,2217
20,2777
20,3910
20,4143
20,3598
20,1829
20,2489
20,2160
20,3948
20,2535
20,2964
20,3362
20,534
20,1800
20,4136
20,3822
20,1798
20,2273
20,459
20,907
20,743
3602,2705
3602,231
3602,646
3602,1137
3602,1423
3602,2254
3602,2634
3602,2712
3602,550
3602,505
3602,3112
3602,3005
3602,2371
3602,1150
3602,4171
3602,2117
3602,4115
3602,198
3602,3781
3602,1293
3602,3587
2177,3347
2177,4107
2177,1800
2177,3889
2177,1180
2177,1916
2177,1214
2177,203
2177,1276
22,478
22,667
22,1725
22,471
22,3948
22,2182
22,507
22,1800
22,342
22,3458
22,54
23,2615
23,342
23,3282
23,1814
23,2371
23,3953
23,2394
24,1456
24,3802
24,3801
24,3766
24,251
24,1276
24,686
24,2788
25,2235
25,1800
25,2425
25,1829
25,907
25,62
25,228
25,3414
28,1901
28,1709
28,2425
28,4301
28,4302
28,4087
28,2956
28,3369
29,3172
29,976
29,917
30,1772
30,2005
31,342
31,4165
31,912
31,2943
31,1646
31,3930
31,1391
31,3765
31,1800
31,1492
31,528
31,557
31,251
31,3347
31,459
31,1926
31,3972
31,740
32,240
32,646
32,912
32,1463
32,1276
32,789
32,1800
32,1916
32,1180
32,2297
32,4313
32,459
32,2371
33,1456
33,1098
33,2119
33,98
33,2425
33,2350
33,3294
33,2614
33,2353
33,3243
33,3534
33,1089
33,1056
33,1800
33,1916
33,2020
33,208
33,2818
33,1749
33,2319
3219,1419
3219,2235
3219,2306
3219,2307
3219,21
3219,1389
3219,1886
3219,1223
3219,1684
3219,3457
3219,1091
3219,618
3219,3443
3219,2140
3219,3256
3219,3917
3219,2839
3219,1669
3219,3532
3219,3111
3219,173
3219,4188
3219,1911
3219,1509
3219,1351
3219,1523
3219,1449
3219,2722
3219,4273
3219,2883
3219,2509
3219,1924
3219,454
3219,3659
3219,780
3219,382
3219,458
3219,1028
3219,2567
3219,2704
3219,2711
3219,659
3219,3078
3219,995
3219,2743
3219,3088
3219,994
3219,155
3219,3854
3219,1724
3219,1948
3219,3495
3219,3080
3219,3860
3219,2486
3219,4028
3219,2912
3219,3629
3219,172
3219,1795
3219,1240
3219,2496
3219,4384
34,314
34,2574
34,3203
34,1156
34,3879
34,1518
34,568
34,2127
34,1680
34,732
34,1599
34,1276
34,1916
34,1746
34,1165
34,236
34,1026
34,3319
34,3038
3717,2058
3717,1456
3717,3761
3717,4277
3717,2207
3717,1137
3717,1392
3717,2790
3717,1179
3717,1953
3717,892
3717,429
3717,293
3717,148
3606,580
3606,1233
3606,912
3606,504
3606,510
3606,208
