from,to
0,2096
0,2087
0,2738
0,1448
0,2016
0,2342
0,1676
0,46
0,25
0,2166
0,391
0,1934
0,376
0,886
0,878
0,101
0,1870
0,2696
0,1166
1,806
1,358
1,2715
1,2223
2,2004
2,1676
2,944
2,2521
2,1164
2,181
2,631
2,766
2,1459
2,935
2,1779
2,590
2,841
2,77
3,705
3,842
3,2738
3,1686
3,158
3,465
3,2588
3,646
4,705
4,2022
4,458
4,17
4,2327
4,944
4,384
4,98
4,1793
4,295
4,2010
4,1367
4,951
4,1065
4,465
4,2366
4,2738
4,1876
4,2342
4,1659
4,171
4,2383
4,1402
4,589
4,535
4,2223
4,983
4,887
4,2583
4,1050
4,94
4,2156
4,2280
4,538
5,1192
5,2327
5,1476
5,536
5,2166
5,2264
5,376
5,2010
5,2086
5,1015
5,541
5,2429
5,1580
5,2557
5,1109
5,2089
5,512
5,2342
5,284
5,685
5,1858
5,1590
5,1066
5,1166
5,1761
5,842
5,287
5,290
5,2219
5,2026
5,944
5,2565
5,1861
5,1037
5,850
5,1349
5,531
5,1417
5,372
5,959
5,34
5,391
5,2446
5,1779
5,2430
5,1636
5,1876
5,2249
5,378
5,40
5,2041
5,538
5,128
5,707
5,540
5,429
5,2016
5,1676
5,461
5,384
5,2295
5,2542
5,1438
5,465
5,1065
5,2133
5,2737
5,2738
5,2647
5,2223
5,1758
5,983
5,2136
5,888
5,146
5,723
5,563
5,2567
5,401
5,989
5,1907
5,2664
5,1214
5,1183
5,85
5,1518
5,2050
5,12
5,2582
5,2583
5,2383
5,264
6,1197
6,1116
6,222
6,662
6,39
7,705
7,806
7,287
7,707
7,1448
7,2219
7,1192
7,1183
7,944
7,171
7,401
7,365
7,376
7,2168
7,482
7,644
7,352
7,1508
7,654
7,2563
7,2738
7,1755
7,821
7,1652
7,959
7,1779
7,2327
7,2604
7,1274
7,2223
7,1154
7,2246
7,1960
7,1675
7,1735
7,685
7,1858
7,983
7,21
7,465
7,2367
8,806
8,365
8,2738
8,1675
8,1819
8,825
8,125
8,2327
8,2225
8,887
8,17
8,1411
8,2010
8,24
8,1062
8,465
8,923
8,21
9,705
9,458
9,2168
9,171
9,806
9,1676
9,46
9,2590
9,2295
9,1479
9,1846
9,2010
9,465
9,1753
9,1183
9,2693
9,2245
9,2738
9,1755
9,1580
9,1109
9,2696
9,2342
9,1758
9,1166
9,1675
9,685
9,1858
9,2308
9,1025
9,2430
9,842
9,985
9,887
9,2219
9,1219
9,365
9,384
9,482
9,1793
9,352
9,1508
9,2366
9,1132
9,2321
9,1876
9,959
9,2327
9,84
9,2037
9,1778
9,2448
9,1636
9,2667
9,1050
9,538
9,2383
9,2203
10,1777
10,193
10,1351
10,925
10,2207
10,590
10,715
10,548
10,2521
10,2462
11,257
12,92
12,1948
12,2579
12,1195
12,1669
12,181
12,376
12,1572
12,1062
12,590
12,1668
12,1203
12,1754
12,609
12,281
12,763
12,2517
12,2343
12,592
12,2601
12,2429
12,284
12,1858
12,841
12,1306
12,2096
12,2386
12,145
12,2182
12,651
12,2241
12,1129
12,2590
12,2618
12,850
12,2362
12,1770
12,447
12,1233
12,2367
12,2111
12,699
12,1772
12,371
12,302
12,784
12,391
12,2093
12,2450
12,1050
12,865
12,1182
12,913
12,2653
12,707
12,429
12,792
12,220
12,1676
