id1,id2
2034,1939
2034,2263
2034,1976
2034,2234
2034,804
2034,1474
2034,2110
2034,652
2034,1350
2034,1860
2034,2243
2034,1889
2034,1356
2034,536
1747,1554
1747,1843
1747,1612
1747,1776
1747,1911
817,115
319,760
319,1398
319,2165
319,1530
319,1023
319,897
319,2042
319,1409
319,1918
319,1921
319,1285
319,2175
319,2053
319,2192
319,1303
319,2199
319,296
319,2204
319,1569
319,1321
319,2221
319,443
319,2223
319,699
319,2225
319,572
319,956
319,829
319,1344
319,841
319,970
319,1606
319,1988
319,1224
319,1232
319,1492
319,1622
319,1750
319,1495
319,2134
319,373
319,1247
319,993
319,1887
319,2013
319,1762
319,366
319,1127
319,1895
319,370
319,1898
319,1013
28,95
28,1204
28,1877
28,1435
28,2109
28,2113
28,115
28,1512
28,2187
777,1907
777,1939
777,1081
777,1976
777,2009
777,1854
777,2043
777,360
777,2217
777,1474
777,1665
777,2208
777,1986
777,1454
777,1841
777,2249
777,1233
777,2093
1967,1401
1967,767
1967,1854
1967,776
1967,2208
1967,2249
1615,1714
1615,2275
1615,1640
1615,1288
1615,1162
1615,1961
1615,2153
1615,2026
1615,880
1502,1940
1502,764
1502,797
1502,1306
1502,164
1502,2167
1502,992
1502,2171
1502,2172
1502,965
1502,746
1502,1837
153,2140
912,33
912,1462
912,2195
912,2263
912,1976
912,2208
912,1989
912,2246
912,1356
1642,1333
1642,954
1642,1147
1642,674
1642,1976
1642,2234
1642,2203
1642,204
1642,2110
1642,1860
1642,1866
1642,186
1642,339
1642,1674
1642,1356
1642,1741
1642,536
1642,2246
1382,404
1382,606
1382,1717
1382,2186
1382,1241
2021,1939
2021,2230
2021,2044
2021,2249
2021,1706
2021,1198
2021,1454
2021,2218
2021,1233
2021,1741
1441,676
1441,1741
1441,1939
306,1789
306,1939
306,1741
1518,1939
1518,546
1518,2263
1518,1976
1518,1132
1518,2088
1518,2249
1518,1741
390,935
390,2175
390,1414
390,1880
1628,460
1628,1830
1628,908
1628,1584
1481,1333
1481,954
1481,1147
1481,674
1481,1976
1481,2234
1481,2203
1481,204
1481,2110
1481,1860
1481,1866
1481,186
1481,339
1481,1674
1481,1356
1481,1741
1481,536
1481,2246
1732,776
1732,2163
