id,target
0,171
1,8089
2,8568
3,47178
4,3634
5,215
6,1054
7,1106
8,109
9,3863
10,590
11,175
12,1399
13,39
14,444
15,64492
16,62284
17,154527
18,673
19,33
20,14480
21,176
22,1131
23,270
24,439
25,621
26,2211
27,11465
28,1308
29,2102
30,1461
31,322
32,1112
33,1106
34,14480
35,749
36,298200
37,276
38,550
39,13321
40,6503
41,121
42,33
43,14480
44,11495
45,17497
46,11852
47,3863
48,1054
49,3863
50,30954
51,550
52,6672
53,2828
54,6029
55,992
56,564
57,15764
58,6503
59,439
60,5755
61,33
62,844
63,2717
64,14480
65,439
66,54
67,2712
68,433
69,607
70,165
71,131
72,607
73,5164
74,14600
75,121
76,60667
77,2784
78,2756
79,121
80,31446
81,15196
82,760
83,321881
84,3651
85,2306
86,172
87,1668
88,5855
89,2201
90,50291
91,23383
92,882
93,1779
94,749
95,435
96,445
97,6700
98,607
99,3800
100,69062
101,121
102,1072
103,14480
104,88
105,329354
106,2237
107,5328
108,5749
109,464
110,145903
111,1199
112,607
113,238
114,44
115,6080
116,439
117,31
118,8568
119,62508
120,5307
121,296235
122,343
123,2754
124,31525
125,206753
126,1469
127,4453
128,59
129,239
130,778
131,30327
132,14480
133,433
134,121
135,3835
136,48979
137,904
138,243701
139,14480
140,4132
141,21845
142,3651
143,778
144,439
145,2716
146,42374
147,12481
148,16763
149,78503
150,772
151,2003
152,1712
153,1087
154,839
155,14480
156,14480
157,249
158,1461
159,992
160,4524
161,1430
162,4883
163,14480
164,218
165,69062
166,14480
167,4360
168,9009
169,11768
170,67
171,10051
172,3835
173,15196
174,1814
175,42374
176,2003
177,607
178,618
179,1399
180,772
181,11718
182,2651
183,30327
184,42
185,992
186,275
187,1374
188,185158
189,511
190,51748
191,385
192,33
193,28960
194,65
195,356
196,1127
197,4146
198,236
199,439
200,14480
201,14480
202,14480
203,1780
204,413
205,2741
206,439
207,39
208,167955
209,4220
210,13302
211,10672
212,719
213,439
214,296235
215,69
216,14480
217,11718
218,60667
219,22226
220,11382
221,1199
222,11495
223,1299
224,672
225,7599
226,291
227,7812
228,16086
229,2952
230,8568
231,439
232,20868
233,809
234,47178
235,322
236,10544
237,517
238,119647
239,95909
240,20868
241,719
242,11495
243,113157
244,12481
245,33
246,297
247,12486
248,15269
249,403
250,809
251,5643
252,618
253,2571
254,1267
255,35821
256,33
257,2003
258,30327
259,14480
260,6029
261,1054
262,961
263,29913
264,352
265,3521
266,97499
267,39
268,37706
269,2003
270,2349
271,433
272,36
273,155
274,1054
275,59
276,312
277,50666
278,11465
279,22971
280,50666
281,31446
282,69
283,14480
284,97499
285,146
286,98265
287,46
288,58
289,132
290,11469
291,607
292,607
293,42374
294,433
295,154527
296,302
297,1199
298,15196
299,445
300,618
301,62508
302,2046
303,14480
304,439
305,11718
306,31525
307,11718
308,920
309,5328
310,7847
311,618
312,16125
313,1054
314,1780
315,1430
316,11469
317,5397
318,253
319,2828
320,951
321,6685
322,291
323,6503
324,322
325,70
326,11718
327,139
328,2340
329,30327
330,5818
331,206753
332,11718
333,2555
334,121
335,721
336,2571
337,995
338,448
339,303
340,47293
341,607
342,121
343,4514
344,592
345,453
346,178682
347,618
348,283
349,7864
350,176
351,423
352,373
353,14329
354,9122
355,2251
356,834
357,13302
358,51748
359,59
360,1299
361,20868
362,10672
363,265
364,140
365,992
366,1091
367,426
368,2848
369,159
370,148
371,356
372,602
373,970
374,1377
375,775
376,992
377,2828
378,22
379,340
380,992
381,607
382,1537
383,56270
384,607
385,6520
386,296235
387,628
388,40350
389,2146
390,11469
391,474
392,6029
393,11353
394,16288
395,11465
396,882
397,22971
398,14480
399,778
400,453
401,15251
402,995
403,23383
404,11476
405,88
406,719
407,39
408,7714
409,33
410,439
411,329354
412,1384
413,1551
414,180
415,37311
416,80
417,1054
418,439
419,1069
420,8695
421,120484
422,866
423,9139
424,747
425,12481
426,464
427,256558
428,180
429,242
430,2426
431,377
432,44
433,29694
434,775
435,4294
436,1712
437,2551
438,2003
439,809
440,618
441,11495
442,4407
443,291
444,336
445,33
446,4220
447,329354
448,15764
