id,target
0,3783
1,31998
2,1273
3,621
4,41607
5,476
6,8874
7,734
8,90
9,10387
10,3694
11,13720
12,56328
13,33064
14,246
15,1325
16,68489
17,2522
18,2406
19,2877
20,1690
21,8304
22,5020
23,7017
24,4896
25,7756
26,9139
27,109
28,3668
29,14426
30,828
31,44936
32,945
33,612
34,3545
35,686
36,3104
37,29171
38,370193
39,49671
40,89511
41,2776
42,49650
43,14077
44,12844
45,4182
46,44846
47,442
48,956
49,9410
50,3753
51,15430
52,42596
53,5569
54,32250
55,6700
56,3819
57,6650
58,5079
59,558
60,39125
61,5152
62,95
63,40897
64,367
65,83702
66,8989
67,370193
68,1707
69,61779
70,23625
71,10899
72,1279
73,3712
74,119795
75,2446
76,3855
77,19334
78,562
79,71265
80,1334
81,23025
82,7585
83,105
84,5152
85,4429
86,2118
87,3553
88,33295
89,14665
90,40010
91,6265
92,20444
93,375
94,15430
95,238
96,12945
97,20444
98,2225
99,49671
100,7468
101,1145
102,15369
103,470
104,1605
105,1003
106,781
107,8456
108,4572
109,3476
110,9820
111,9839
112,658
113,217
114,615
115,880
116,323204
117,8305
118,734
119,4738
120,10703
121,24707
122,2343
123,1717
124,29196
125,96935
126,20140
127,1600
128,3239
129,37313
130,2226
131,14434
132,5499
133,42292
134,22493
135,40010
136,18310
137,7279
138,34140
139,3319
140,755
141,19037
142,1620
143,6700
144,37818
145,53328
146,449
147,95389
148,222045
149,12170
150,4844
151,79005
152,125573
153,5667
154,1605
155,476
156,32133
157,2556
158,4339
159,194
160,6046
161,13571
162,260
163,50
164,7435
165,30397
166,15159
167,5175
168,700
169,31283
170,4968
171,16147
172,880
173,3381
174,4227
175,4257
176,178
177,1525
178,1795
179,607
180,12170
181,45280
182,5900
183,75590
184,19037
185,188
186,133194
187,4280
188,6167
189,41638
190,2210
191,10069
192,176521
193,37510
194,10852
195,849
196,1419
197,16383
198,16003
199,17935
200,13212
201,5206
202,12491
203,9558
204,81538
205,5130
206,70167
207,1832
208,2003
209,1487
210,79005
211,14104
212,9224
213,16383
214,2970
215,3725
216,2150
217,5697
218,2035
219,11261
220,18561
221,6450
222,11152
223,647
224,153977
225,3934
226,326
227,2055
228,634
229,7205
230,36794
231,19343
232,232
233,6452
234,1742
235,10513
236,24707
237,20856
238,4952
239,2050
240,276
241,15489
242,48001
243,125886
244,3684
245,31699
246,6187
247,22422
248,94877
249,20636
250,222045
251,21478
252,32838
253,186
254,4327
255,844
256,43592
257,35702
258,22673
259,2394
260,2191
261,2760
262,64049
263,2283
264,9676
265,18486
266,27768
267,43838
268,75320
269,19913
270,434
271,11098
272,25439
273,3544
274,4727
275,33938
276,8304
277,3382
278,53781
279,5550
280,79005
281,27230
282,3181
283,44222
284,5908
285,1787
286,6141
287,3215
288,36794
289,27710
290,12686
291,43592
292,2556
293,11344
294,83702
